n,Insert (O2),Insert (O3),Heap (O2),Heap (O3)
3,902,1034,928,928
4,1355,1576,1518,1519
5,1816,2171,2108,2112
6,2302,2810,2925,2941
7,2827,3480,3818,3858
8,3335,4191,4542,4573
9,3887,4941,5323,5350
10,4450,5745,6287,6284
11,5021,6595,7343,7358
12,5644,7478,8220,8286
13,6374,8509,9273,9314
14,7021,9471,10454,10423
15,7710,10517,11671,11702
16,8392,11604,12526,12550
17,9101,12732,13550,13553
18,9855,13891,14697,14727
19,10671,15124,15949,15930
20,11441,16376,17120,17118
21,12263,17661,18133,18247
22,13118,18989,19537,19630
23,13978,20395,20969,21002
24,14860,21819,22081,22125
25,15742,23303,23369,23373
26,16683,24827,24757,24743
27,17614,26380,26082,26051
28,18598,28007,27411,27367
29,19594,29678,28666,28614
30,20657,31447,30264,30186
31,21986,33522,31691,31661
32,23181,35479,32783,32738
33,24601,38647,33783,33790
34,28957,44797,35381,35331
35,34051,47931,36744,36742
36,35665,50177,38886,38905
37,37085,52380,44288,44175
38,38431,54556,46639,46630
39,39892,56853,48292,48275
40,41394,59219,49842,49826
41,42908,61609,51438,51415
42,44447,64036,53316,53208
43,45987,66500,54885,54834
44,47574,69028,56815,56635
45,49187,71598,58385,58271
46,50867,74247,60338,60208
47,52549,76941,62128,62004
48,54227,79663,63572,63498
49,55951,82416,65135,65090
50,57698,85226,67213,67155
51,59470,88098,69107,68989
52,61259,90997,71157,71037
53,63082,93935,72987,72758
54,64909,96954,74923,74643
55,66791,99994,76932,76671
56,68938,103272,79167,78879
57,70880,106427,80957,80627
58,72529,109446,82646,82376
59,74511,112706,84725,84414
60,76526,115987,86527,86146
61,78513,119326,88460,88116
62,80549,122688,90505,90156
63,82604,126074,92444,91981
64,84721,129575,93824,93517
65,86846,133083,95451,95097
66,88998,136675,97274,96931
67,91154,140275,99014,98606
68,93325,143908,100779,100417
69,95552,147609,102513,102110
70,97814,151355,104684,104347
71,100089,155141,106390,105999
72,102649,159169,108212,107928
73,104968,163006,109989,109741
74,106968,166759,112021,111808
75,109445,170808,113718,113436
76,111952,174710,115746,115501
77,114406,178753,117463,117187
78,116830,182806,119810,119524
79,119246,186899,121799,121453
80,121706,191099,123456,123156
81,124159,195262,125408,125098
82,126736,199592,127564,127262
83,129226,203876,129514,129286
84,132565,208537,131702,131456
85,135277,212988,133654,133408
86,136915,217063,135845,135641
87,139493,221513,138199,137971
88,142095,226036,140168,139938
89,144159,230637,142160,141881
90,146832,235269,144445,144192
91,149534,239706,146731,146377
92,152243,244409,149090,148594
93,154983,249199,151282,150836
94,158214,254353,153715,153231
95,161073,259177,155877,155315
96,164460,264290,157784,157291
97,167314,269368,159828,159362
98,169578,273977,161485,160946
99,172434,278937,163452,162984
100,175256,284006,165455,164946
101,178186,289067,167581,167182
102,181090,294261,169885,169373
103,184043,299453,172054,171634
104,187200,304773,173899,173469
105,190193,310071,176010,175604
106,193886,315639,178372,177945
107,196949,321030,180681,180184
108,199180,326132,182405,181749
109,202253,331581,184620,184042
110,205317,337009,187371,186626
111,208486,342624,189889,189102
112,211622,348187,191852,190975
113,214840,353867,194117,193294
114,218545,359984,196481,195668
115,221930,365774,198608,197822
116,224581,371149,200406,199496
117,227878,376972,202646,201880
118,231131,382743,205211,204505
119,234513,388735,207723,206958
120,237837,394639,209706,208714
121,241188,400626,211924,211003
122,244997,406839,214584,213585
123,248381,412982,216914,215879
124,252568,419899,219885,218619
125,256063,425604,222176,221037
126,258410,431294,224201,222910
127,261957,437559,226762,225535
128,265451,443897,228221,226921
129,269005,450206,230243,228986
130,273084,456948,232255,230916
131,276686,463298,234355,232941
132,280305,469774,236271,234592
133,284009,476416,238496,236989
134,287720,482958,240730,239142
135,291328,489522,243103,241376
136,295060,496174,244893,242931
137,298841,502896,247122,245112
138,302638,509713,249119,247110
139,306430,516530,251414,249161
140,310225,523303,253284,250819
141,314065,530290,255536,253105
142,317955,537158,257979,255522
143,321859,544196,260346,257648
144,325731,551142,262141,259382
145,329699,558244,264468,261858
146,333599,565329,266503,263980
147,337637,572475,268735,266235
148,341600,579684,270702,268044
149,345656,586990,273054,270467
150,349692,594299,275373,272988
151,353759,601689,277910,275255
152,357489,608918,279669,277081
153,361668,616475,282084,279472
154,365977,624044,284430,281962
155,370278,631693,286819,284170
156,374541,639200,289063,286382
157,378839,646846,291488,288714
158,383115,654477,294084,291415
159,387402,662198,296499,293442
160,391733,669946,298363,295325
161,396031,677665,300628,297649
162,400364,685578,302554,299527
163,404823,693372,304876,301831
164,409258,701260,306897,303789
165,413795,709243,309261,306202
166,418224,717184,311396,308474
167,422652,725327,313975,310889
168,427144,733404,315943,312939
169,431618,741544,318299,315218
170,436205,749750,320401,317300
171,440736,757846,322849,319653
172,445306,766214,324884,321709
173,450105,774424,327460,324287
174,454730,782781,330274,327027
175,459407,791321,332956,329520
176,464150,799644,334798,331558
177,468745,808096,337229,333887
178,473473,816690,339329,336104
179,478258,825233,341716,338458
180,483008,833832,343802,340525
181,487850,842661,346295,343015
182,492723,851164,348806,345749
183,497511,859869,351459,348083
184,502491,868839,353573,350287
185,507406,877444,356154,352705
186,512196,886358,358551,355371
187,517157,895280,361185,357921
188,522064,904351,363520,360307
189,527235,913222,366158,362842
190,532225,922400,368880,365571
191,537204,931589,371661,368127
192,542284,940629,373321,370011
193,547513,949836,375823,372472
194,552486,958894,377796,374572
195,557610,968194,380451,377172
196,562705,977609,382434,378962
197,567965,986859,384904,381517
198,573107,996243,387041,383606
199,578392,1005781,389778,386186
200,583643,1015375,391553,388148
