n,Bubble Sort Fast,Insertion Sort Fast,Heap,State Machine (Compiled),State Machine (Lookup Table),State Machine (Lookup Table Alternative),State Machine (Lookup Table Ascending),State Machine (Binary Search),State Machine (Binary Search Fast)
3,2.138204,2.049903,1.987367,1.747376,2.242607,2.138834,2.237209,2.777078,2.719700
4,3.230158,3.131165,3.141159,2.738507,3.122004,3.571798,3.140090,4.413326,4.131957
5,4.554044,4.286424,4.289444,3.857518,4.565785,4.864357,4.559798,6.531066,6.854042
6,5.999590,5.558628,6.077574,5.698782,5.695702,5.739032,6.498657,8.534243,7.345875
7,7.744292,6.878656,7.746274,8.988143,8.225502,8.397977,8.022031,11.852932,11.207167
8,9.479752,8.253139,9.117508,0.000004,15.477104,15.465509,15.532159,20.426200,24.711989
9,11.439070,9.704811,10.495235,0.000004,0.000001,0.000002,0.000002,0.000001,0.000002
10,13.328840,11.286289,12.386354,0.000004,0.000001,0.000001,0.000002,0.000001,0.000001
11,15.460932,12.953558,14.315379,0.000005,0.000001,0.000001,0.000002,0.000002,0.000001
12,17.639614,14.704403,16.301546,0.000004,0.000001,0.000002,0.000001,0.000002,0.000002
13,20.248000,16.810695,18.194467,0.000005,0.000001,0.000002,0.000002,0.000001,0.000001
14,22.697221,18.771875,20.734506,0.000006,0.000001,0.000002,0.000002,0.000001,0.000001
15,25.535282,20.683896,23.171324,0.000006,0.000002,0.000001,0.000002,0.000002,0.000001
16,28.475307,22.857319,24.652234,0.000005,0.000002,0.000002,0.000002,0.000001,0.000001
