n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
481,15793,20738,20771,49063,22325,16530,16427,15352,15314
482,16042,20814,20766,49234,22392,16617,16497,15392,15376
483,15763,20825,20859,49455,22465,16612,16532,15416,15376
484,16040,20870,20880,49610,22600,16685,16570,15440,15391
485,15895,20898,20933,49830,22715,16732,16632,15495,15468
486,16044,20955,20946,50023,22772,16774,16665,15687,15478
487,16221,21144,21154,50730,23079,16997,16805,15741,15682
488,16206,21016,21070,50419,22934,16835,16905,15584,15564
489,16376,21271,21250,50891,23273,17107,16786,16048,15529
490,16343,21285,21434,50836,23120,16948,17127,15659,15643
491,16026,21332,21358,51029,23227,16957,16894,15704,15656
492,16742,21546,21544,51492,23540,17347,17046,15930,15919
493,16361,21585,21586,51930,23663,17348,17182,15987,15910
494,16490,21589,21639,51592,23467,17115,17247,15879,15801
495,16544,21657,21569,52078,23746,17462,17179,16022,15857
496,16394,21533,21546,51953,23599,17202,17077,15809,15803
497,16334,21802,21781,52154,23684,17214,17129,15843,15805
498,16572,21821,21832,52327,23808,17285,17179,15881,15856
499,16411,21837,21860,52528,23902,17335,17205,15942,15887
500,16613,21918,21909,52765,23993,17379,17266,15956,15909
