n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
126,3616,2207,2207,3867,2584,3204,3137,3037,3035
127,3581,2225,2228,3924,2618,3238,3173,3057,3057
128,3704,2244,2244,3983,2609,3261,3194,3086,3080
129,3669,2325,2319,4040,2638,3282,3215,3127,3116
130,3738,2340,2335,4095,2670,3306,3249,3163,3154
131,3694,2359,2353,4163,2886,3333,3269,3202,3191
132,3845,2380,2372,4224,2914,3356,3298,3241,3229
133,3785,2394,2388,4282,2953,3381,3323,3284,3275
134,3882,2409,2404,4343,2990,3408,3350,3323,3307
135,3862,2430,2422,4390,2874,3438,3379,3362,3356
136,3972,2450,2442,4449,2910,3456,3407,3399,3381
137,3918,2461,2462,4512,2948,3482,3431,3441,3422
138,4036,2478,2477,4571,2984,3506,3463,3484,3471
139,3964,2494,2495,4638,3001,3536,3491,3523,3508
140,4107,2513,2516,4700,3034,3563,3519,3559,3550
141,4056,2528,2531,4764,3068,3592,3548,3600,3585
142,4128,2544,2545,4826,3101,3625,3577,3639,3621
143,4057,2563,2563,4889,3132,3656,3608,3673,3653
144,4195,2581,2582,4951,3163,3675,3636,3716,3693
145,4167,2661,2662,5015,3200,3700,3656,3755,3732
146,4292,2680,2676,5078,3236,3725,3684,3793,3769
147,4245,2694,2693,5141,3271,3756,3714,3835,3809
148,4359,2712,2715,5206,3307,3785,3742,3869,3846
149,4259,2730,2729,5269,3342,3814,3769,3905,3881
150,4426,2748,2746,5333,3376,3846,3804,3944,3916
151,4389,2768,2767,5391,3405,3883,3834,3981,3952
152,4434,2788,2784,5453,3436,3910,3866,4011,3990
153,4383,2949,2948,5522,3473,3941,3890,4050,4025
154,4558,2967,2965,5586,3507,3973,3928,4083,4060
155,4485,2989,2985,5655,3551,4011,3961,4129,4090
156,4659,3011,3007,5724,3581,4046,3995,4160,4123
157,4574,3027,3028,5790,3619,4075,4028,4192,4161
158,4682,3044,3044,5857,3653,4115,4066,4224,4197
159,4599,3065,3065,5932,3653,4151,4093,4261,4221
160,4724,3086,3089,6007,3688,4173,4126,4291,4256
161,4677,3179,3183,6076,3724,4197,4146,4335,4295
162,4827,3194,3200,6150,3760,4226,4182,4362,4329
163,4701,3221,3224,6228,3808,4260,4208,4407,4369
164,4858,3244,3247,6300,3837,4291,4240,4437,4399
165,4825,3263,3268,6372,3879,4323,4272,4472,4433
166,4928,3287,3288,6441,3919,4361,4312,4510,4474
167,4886,3312,3318,6516,3961,4403,4346,4547,4503
168,4992,3340,3344,6590,4002,4436,4382,4580,4545
169,4929,3338,3332,6672,4045,4468,4411,4617,4574
170,5146,3365,3359,6757,4085,4507,4458,4643,4599
171,4973,3393,3388,6811,4192,4547,4489,4678,4629
172,5150,3420,3414,6900,4241,4583,4531,4711,4658
173,5096,3443,3439,6983,4281,4619,4564,4743,4687
174,5207,3464,3460,7060,4318,4661,4603,4765,4718
175,5159,3489,3484,7153,4354,4702,4638,4800,4746
176,5258,3512,3507,7229,4406,4730,4672,4826,4778
177,5168,3592,3587,7312,4439,4757,4696,4855,4807
178,5333,3613,3606,7384,4475,4790,4732,4883,4833
179,5290,3629,3629,7465,4476,4828,4762,4913,4861
180,5384,3654,3650,7550,4510,4862,4801,4947,4890
181,5360,3670,3670,7620,4546,4900,4833,4976,4922
182,5486,3691,3691,7700,4579,4939,4874,4999,4943
183,5356,3711,3712,7775,4613,4981,4909,5025,4972
184,5584,3732,3739,7856,4661,5013,4942,5055,5009
185,5428,4147,4140,7936,4695,5047,4973,5084,5029
186,5564,4166,4163,8015,4729,5086,5015,5115,5053
187,5512,4190,4186,8092,4709,5134,5049,5140,5088
188,5670,4216,4214,8175,4747,5163,5087,5161,5108
189,5579,4237,4232,8256,4784,5199,5117,5199,5138
190,5765,4255,4256,8335,4818,5245,5163,5229,5162
191,5624,4282,4275,8462,5294,5282,5194,5255,5184
192,5794,4304,4302,8546,5333,5310,5227,5274,5218
193,5734,4419,4418,8621,5373,5335,5255,5305,5246
194,5862,4440,4439,8707,5413,5369,5290,5340,5277
195,5731,4466,4464,8746,4999,5400,5315,5366,5307
196,5940,4490,4490,8828,5034,5433,5348,5395,5338
197,5842,4511,4511,8911,5067,5464,5374,5422,5367
198,6010,4530,4530,8997,5105,5500,5410,5454,5397
199,5877,4556,4557,9083,5144,5539,5442,5485,5427
200,6069,4582,4580,9167,5181,5567,5477,5516,5457
201,5977,4425,4422,9253,5215,5602,5505,5543,5489
202,6145,4442,4443,9337,5252,5629,5543,5571,5516
203,6065,4467,4466,9422,5336,5669,5577,5600,5548
204,6204,4492,4487,9508,5369,5700,5613,5631,5574
205,6078,4511,4508,9601,5405,5734,5644,5656,5602
206,6233,4533,4527,9680,5445,5778,5685,5693,5639
207,6167,4554,4553,9834,5920,5817,5723,5717,5659
208,6303,4581,4573,9926,5968,5848,5754,5741,5688
209,6269,4705,4702,10008,6006,5880,5783,5770,5717
210,6438,4724,4723,10100,6045,5912,5821,5795,5745
211,6345,4748,4747,10121,5634,5951,5854,5827,5774
212,6451,4777,4771,10215,5667,5984,5893,5858,5802
213,6431,4795,4790,10301,5702,6021,5920,5884,5834
214,6548,4812,4812,10396,5737,6058,5964,5913,5858
215,6432,4836,4835,10482,5773,6102,6003,5939,5888
216,6612,4863,4863,10593,5828,6138,6041,5964,5917
217,6495,5372,5375,10674,5873,6173,6070,5995,5945
218,6697,5394,5396,10771,5900,6209,6115,6020,5972
219,6618,5424,5418,10848,5876,6255,6148,6045,6000
220,6790,5450,5446,10991,5930,6292,6188,6076,6027
221,6673,5471,5469,11032,5966,6333,6222,6107,6054
222,6918,5498,5498,11132,6004,6376,6265,6128,6077
223,6660,5522,5520,11275,6229,6416,6299,6156,6117
224,6857,5549,5551,11365,6273,6442,6333,6186,6142
225,6797,5634,5635,11429,6313,6478,6352,6208,6167
226,6909,5653,5660,11526,6357,6508,6392,6237,6191
227,6832,5686,5682,11612,6170,6552,6418,6263,6220
228,6999,5716,5715,11703,6224,6581,6457,6296,6252
229,6880,5737,5743,11800,6261,6620,6487,6327,6279
230,7154,5761,5763,11899,6299,6656,6524,6352,6306
231,7013,5783,5782,11996,6337,6698,6560,6374,6339
232,7225,5809,5813,12094,6372,6735,6594,6401,6361
233,7012,5683,5682,12221,6405,6768,6624,6429,6391
234,7185,5703,5705,12299,6441,6806,6673,6463,6412
235,7130,5734,5730,12383,7044,6852,6701,6488,6443
236,7299,5760,5757,12491,7075,6885,6746,6509,6472
237,7241,5780,5787,12586,7110,6926,6774,6545,6500
238,7359,5805,5816,12708,7157,6977,6820,6571,6534
239,7234,5834,5839,12776,6952,7013,6860,6602,6559
240,7422,5878,5871,12894,7028,7047,6894,6637,6594
241,7266,5997,5991,12968,7073,7087,6924,6666,6624
242,7506,6021,6039,13111,7120,7123,6970,6698,6651
243,7361,6062,6069,13173,6891,7166,7002,6726,6684
244,7627,6100,6116,13314,6937,7208,7049,6765,6719
245,7505,6167,6133,13410,6984,7257,7082,6799,6758
246,7776,6176,6185,13548,7041,7301,7132,6830,6787
247,7560,6212,6208,13655,7084,7353,7181,6866,6822
248,7714,6245,6237,13762,7161,7391,7228,6897,6852
249,7583,6754,6772,13896,7208,7434,7266,6946,6886
250,7842,6789,6780,13957,7254,7482,7314,6965,6918
251,7643,6814,6808,14107,7488,7526,7350,6993,6946
252,7890,6868,6862,14205,7555,7571,7394,7024,6977
253,7723,6899,6880,14319,7589,7613,7431,7050,7003
254,7988,6893,6910,14421,7651,7658,7475,7078,7033
255,7790,6933,6996,14560,7389,7699,7519,7107,7061
256,7980,6980,6984,14665,7446,7729,7546,7143,7088
257,7882,6772,6795,14800,7519,7751,7572,7184,7135
