n,Find (Cache),Find (Cache Unrolled),Find (Cache Unrolled Best)
3,172,118,141
4,259,192,225
5,349,265,321
6,450,358,428
7,582,471,489
8,704,588,613
9,963,695,728
10,1135,885,981
11,1350,1049,1127
12,1620,1267,1444
13,1856,1514,1663
14,2106,1803,2038
15,2403,2188,2342
16,2738,2478,2586
17,3084,2842,2969
18,3519,2956,3260
19,3816,3416,3411
20,4074,3667,3829
