n,State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,1622,1484,1482,1683,1620
4,2531,2501,2502,2520,2545
5,3536,3514,3513,3518,3521
6,5050,5069,5072,5070,5088
