n,Bubble,Bubble Branchless,Bubble Branchless Cache,Bubble Branchless Pair
3,206,91,88,123
4,325,128,132,199
5,422,238,206,284
6,574,380,279,380
7,731,490,385,496
8,894,596,490,615
9,1041,671,638,753
10,1256,902,764,904
11,1456,1072,937,1068
12,1677,1242,1097,1251
13,1854,1184,1304,1442
14,2134,1488,1485,1654
15,2398,1703,1721,1900
16,2660,1922,1935,2143
17,2860,1814,2208,2438
18,3179,2203,2448,2724
19,3486,2458,2741,3003
20,3809,2757,3023,3304
21,4088,2772,3364,3672
22,4468,3240,3660,3980
23,4831,3552,4021,4333
24,5153,3869,4365,4721
25,5502,3991,4774,5124
26,5987,4554,5131,5505
27,6365,4908,5562,5935
28,6742,5294,5958,6366
29,7123,5295,6434,6846
30,7638,5948,6845,7278
