n,Find SIMD (O2),Insert Cache (O3)
3,399,172
4,545,251
5,696,331
6,861,430
7,1032,522
8,1272,654
9,1383,750
10,1519,881
11,1688,963
12,1852,1111
13,2024,1341
14,2203,1523
15,2400,1737
16,2638,1939
17,2617,2141
18,2742,2335
19,2900,2521
20,3058,2648
21,3223,2831
22,3396,3009
23,3578,3210
24,3777,3388
25,3847,3576
26,3966,3827
27,4127,3670
28,4289,3900
29,4456,4153
30,4688,4274
31,4806,4478
32,5025,4612
33,5294,4813
34,5433,5023
35,5606,5461
36,5792,5587
37,5960,5788
38,6154,5967
39,6356,6178
40,6567,6373
41,6755,6509
42,6889,6713
43,7075,6707
44,7321,6924
45,7455,7201
46,7664,7406
47,7862,7548
48,8143,7621
49,8619,7898
50,8776,8091
51,9010,8378
52,9188,8670
53,9336,8937
54,9641,8911
55,9754,9224
56,10034,9360
57,10206,9621
58,10406,9797
59,10555,9935
60,10736,10168
61,10988,10332
62,11194,10540
63,11349,10857
64,11566,10965
65,12051,11160
66,12217,11344
67,12406,11512
68,12608,11690
69,12813,11911
70,13022,12114
71,13235,12347
72,13462,12564
73,14112,12798
74,14328,13019
75,14520,13725
76,14714,13414
77,14906,13641
78,15113,13910
79,15406,14149
80,15600,14215
81,16309,14429
82,16467,14626
83,16624,14800
84,16872,15011
85,17081,15306
86,17336,15432
87,17561,15633
88,17832,15923
89,17663,16135
90,17760,16358
91,18021,17766
92,18228,16945
93,18455,17189
94,18658,17426
95,18839,17647
96,19090,17735
97,19970,18022
98,20105,18291
99,20387,18427
100,20598,18695
