n,Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz)
3,1950,2126,1876,2103,2161
4,2930,3205,2872,3150,3313
5,3927,4320,3866,4223,4521
6,4930,5448,4863,5304,5778
