n,Find SIMD (O2)
3,121
4,166
5,212
6,262
7,310
8,381
9,414
10,453
11,500
12,550
13,602
14,652
15,706
16,775
17,788
18,828
19,873
20,923
21,972
22,1017
23,1070
24,1131
25,1160
26,1198
27,1242
28,1289
29,1338
30,1392
31,1443
32,1498
33,1580
34,1613
35,1665
36,1712
37,1771
38,1821
39,1878
40,1936
41,2000
42,2047
43,2099
44,2142
45,2198
46,2259
47,2314
48,2377
49,2545
50,2586
51,2631
52,2687
53,2745
54,2801
55,2856
56,2919
57,3014
58,3067
59,3119
60,3153
61,3213
62,3270
63,3338
64,3397
65,3574
66,3618
67,3670
68,3719
69,3790
70,3846
71,3919
72,3977
73,4036
74,4068
75,4124
76,4183
77,4234
78,4278
79,4351
80,4417
81,4728
82,4759
83,4838
84,4875
85,4934
86,5001
87,5077
88,5133
89,5079
90,5126
91,5198
92,5234
93,5289
94,5348
95,5427
96,5483
97,5835
98,5897
99,5964
100,6018
