n,Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz)
3,202,191,184,184,188
4,296,284,279,275,275
5,398,381,377,367,362
6,507,480,477,469,458
