n,Find SIMD (O2),Insert Cache (O3)
3,39,17
4,55,25
5,71,33
6,85,44
7,101,52
8,124,66
9,138,76
10,151,87
11,168,98
12,184,111
13,200,136
14,217,154
15,237,177
16,260,197
17,259,218
18,270,237
19,286,255
20,302,269
21,317,287
22,333,306
23,350,326
24,369,344
25,377,363
26,390,384
27,404,374
28,419,392
29,434,413
30,451,437
31,466,459
32,484,469
33,515,489
34,530,505
35,545,547
36,560,562
37,578,581
38,594,599
39,612,622
40,633,641
41,646,658
42,662,683
43,690,693
44,700,707
45,711,721
46,737,750
47,756,766
48,769,772
49,816,795
50,840,820
51,852,848
52,861,872
53,891,900
54,901,892
55,921,916
56,938,934
57,965,957
58,974,978
59,995,996
60,1009,1020
61,1030,1042
62,1040,1062
63,1064,1089
64,1084,1099
65,1129,1132
66,1145,1142
67,1165,1148
68,1176,1167
69,1193,1195
70,1212,1238
71,1229,1268
72,1263,1273
73,1286,1281
74,1300,1301
75,1315,1377
76,1334,1348
77,1354,1370
78,1369,1393
79,1389,1418
80,1411,1426
81,1510,1446
82,1518,1468
83,1538,1477
84,1559,1508
85,1580,1533
86,1599,1544
87,1675,1570
88,1640,1593
89,1630,1615
90,1641,1644
91,1661,1776
92,1678,1719
93,1719,1737
94,1765,1745
95,1736,1770
96,1759,1782
97,1842,1807
98,1862,1837
99,1881,1845
100,1896,1871
