n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Indexes,AVX Sort,AVX Sort Discrete N,AVX Sort (Pointers),AVX Sort (Binary Search),Heap,State Machine (Compiled)
3,2.137064,1.810451,2.358713,2.384474,2.328906,2.868838,2.738984,2.196561,1.590820
4,3.468210,2.698479,3.781023,3.625323,3.577740,4.143299,4.785250,3.496435,2.715356
5,4.919693,3.624526,5.281102,4.809927,4.762738,5.458562,6.425258,4.847535,3.887535
6,6.603380,4.562745,6.867001,6.046861,6.102536,6.827324,8.467497,6.659915,5.985232
7,8.471882,5.578815,8.464617,7.314210,7.314046,8.180731,10.770656,8.752220,0.000004
8,10.405911,6.598532,10.087480,8.678291,8.594363,9.547762,13.318832,10.253246,0.000006
9,12.547872,7.719623,11.784950,10.055572,9.813360,0.000002,15.412815,11.825627,0.000005
10,14.757838,8.839138,13.599285,11.578540,11.153477,0.000001,17.684304,13.817419,0.000004
11,17.192227,10.084076,15.426725,13.021192,12.517571,0.000001,20.041239,16.225535,0.000005
12,19.711470,11.333953,17.394517,14.610594,14.036096,0.000002,22.704150,18.460427,0.000005
13,22.327325,12.786575,19.638155,16.207653,15.940231,0.000002,25.208045,20.669775,0.000005
14,25.324161,14.156685,21.780674,17.901813,17.267242,0.000002,27.956691,23.330367,0.000004
15,28.474578,15.495646,24.027162,19.417968,18.843279,0.000002,30.982964,26.377177,0.000004
16,31.824550,16.991529,26.389912,21.273530,20.636965,0.000001,34.032870,28.147374,0.000004
