n,Find SIMD (O2),Insert Cache (O3)
3,40,17
4,54,25
5,70,33
6,86,44
7,102,52
8,126,64
9,136,76
10,150,88
11,166,99
12,184,109
13,199,135
14,215,153
15,234,174
16,256,195
17,256,216
18,269,235
19,284,254
20,299,267
21,314,284
22,330,303
23,406,323
24,365,342
25,374,361
26,388,381
27,400,369
28,416,389
29,433,410
30,450,430
31,462,450
32,480,465
33,511,484
34,525,499
35,540,543
36,557,557
37,572,577
38,595,601
39,621,626
40,631,635
41,656,692
42,666,685
43,677,678
44,696,707
45,718,730
46,735,749
47,752,768
48,772,776
49,831,798
50,841,824
51,854,849
52,885,890
53,895,902
54,925,909
55,940,934
56,963,953
57,992,976
58,997,1000
59,1012,1017
60,1029,1033
61,1045,1053
62,1061,1075
63,1092,1103
64,1106,1119
65,1139,1127
66,1155,1150
67,1227,1160
68,1187,1175
69,1211,1198
70,1223,1221
71,1242,1244
72,1268,1273
73,1301,1291
74,1313,1314
75,1329,1392
76,1354,1368
77,1365,1440
78,1391,1411
79,1405,1429
80,1432,1438
81,1529,1461
82,1540,1485
83,1558,1495
84,1568,1520
85,1584,1543
86,1611,1556
87,1632,1584
88,1655,1605
89,1699,1634
90,1654,1657
91,1675,1793
92,1689,1710
93,1709,1795
94,1729,1762
95,1750,1788
96,1766,1792
97,1857,1819
98,1874,1852
99,1892,1860
100,1911,1889
