n,Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz)
3,35,30,37,31,31
4,47,40,49,42,42
5,59,51,60,52,53
6,71,62,71,64,65
7,84,73,89,76,77
8,97,85,103,87,89
9,116,106,121,108,110
10,128,118,132,121,122
11,141,130,152,133,135
12,155,143,166,146,148
13,169,156,179,159,161
14,183,169,192,173,175
15,197,182,212,186,188
16,211,195,226,199,202
17,236,210,245,215,215
18,251,223,258,228,228
19,264,235,276,240,240
20,278,247,290,253,253
21,292,260,303,266,266
22,307,273,317,279,280
23,321,286,336,293,293
24,335,299,350,305,306
25,363,324,369,328,329
26,379,337,382,342,343
27,394,351,402,356,357
28,408,365,416,369,371
29,424,379,431,384,385
30,439,392,445,398,399
31,454,407,465,412,413
32,469,420,487,426,427
33,503,444,504,453,453
34,518,458,518,468,467
35,533,472,538,482,480
36,549,486,554,496,495
37,565,500,568,511,509
38,580,514,582,525,524
39,595,528,602,539,538
40,611,542,617,555,552
41,652,586,663,587,589
42,668,602,678,602,601
43,684,617,701,616,616
44,700,632,717,632,631
45,717,646,733,647,646
46,733,662,749,662,661
47,750,678,771,678,676
48,767,693,789,694,692
49,847,741,838,740,739
50,865,757,854,755,756
51,883,773,878,772,771
52,900,790,895,788,787
53,919,805,912,804,803
54,937,821,927,820,820
55,955,838,952,837,836
56,973,854,970,854,852
57,1034,911,1023,906,908
58,1053,928,1040,923,926
59,1071,945,1064,939,942
60,1090,962,1081,957,959
61,1108,979,1099,973,976
62,1127,996,1116,991,993
63,1146,1013,1141,1007,1011
64,1164,1030,1158,1023,1027
65,1230,1094,1201,1086,1085
66,1249,1110,1219,1103,1103
67,1268,1130,1244,1121,1120
68,1287,1144,1261,1137,1136
69,1305,1161,1278,1155,1153
70,1324,1178,1295,1171,1170
71,1342,1195,1316,1187,1186
72,1360,1210,1334,1203,1203
73,1406,1247,1383,1270,1256
74,1425,1264,1399,1285,1272
75,1443,1279,1422,1301,1289
76,1460,1297,1440,1318,1305
77,1478,1313,1458,1333,1320
78,1498,1328,1473,1350,1336
79,1515,1345,1496,1366,1353
80,1534,1363,1515,1384,1370
81,1566,1407,1567,1433,1455
82,1586,1423,1586,1451,1473
83,1606,1442,1609,1470,1492
84,1625,1460,1630,1488,1512
85,1647,1481,1650,1506,1532
86,1668,1499,1670,1527,1550
87,1690,1517,1696,1546,1572
88,1711,1538,1716,1565,1591
89,1766,1597,1760,1659,1643
90,1787,1618,1781,1679,1664
91,1809,1639,1808,1700,1683
92,1829,1658,1826,1720,1706
93,1849,1678,1846,1740,1723
94,1870,1697,1866,1759,1743
95,1890,1715,1891,1778,1761
96,1910,1735,1910,1797,1780
97,1969,1791,1969,1840,1826
98,1988,1810,1987,1860,1845
99,2008,1830,2011,1879,1864
100,2028,1849,2031,1897,1883
