n,Find SIMD (O2)
3,399
4,546
5,748
6,866
7,1034
8,1285
9,1385
10,1521
11,1686
12,1912
13,2028
14,2211
15,2405
16,2704
17,2635
18,2760
19,2921
20,3077
21,3250
22,3479
23,3601
24,3808
25,3877
26,4002
27,4157
28,4323
29,4485
30,4667
31,4840
32,5111
33,5296
34,5433
35,5600
36,5775
37,5969
38,6480
39,6610
40,6560
41,6886
42,6962
43,7197
44,7373
45,7560
46,7727
47,7926
48,8176
49,8640
50,8787
51,8951
52,9004
53,9216
54,9572
55,9807
56,10035
57,10197
58,10334
59,10587
60,10758
61,10974
62,11104
63,11381
64,11553
65,12148
66,12364
67,12514
68,12713
69,12982
70,13146
71,13336
72,13598
73,14044
74,14281
75,14383
76,14654
77,14871
78,15036
79,15254
80,15556
81,16320
82,16401
83,16615
84,16878
85,17089
86,17307
87,17554
88,17757
89,17639
90,17822
91,17998
92,18207
93,18418
94,18662
95,18864
96,19124
97,20157
98,20270
99,20519
100,20724
