n,Heap,Tournament Tree
3,2,2
4,2,4
5,3,6
6,5,8
7,7,10
8,8,11
9,9,14
10,10,17
11,12,19
12,14,20
13,16,24
14,18,26
15,21,28
16,22,30
17,23,33
18,25,36
19,27,39
20,29,42
21,31,45
22,34,48
23,36,51
24,38,52
25,40,56
26,43,59
27,46,62
28,49,64
29,51,67
30,54,69
31,57,72
32,59,75
33,60,78
34,62,82
35,64,85
36,66,89
37,68,93
38,71,96
39,73,99
40,75,102
41,77,106
42,81,109
43,84,113
44,87,115
45,89,119
46,92,121
47,95,124
48,99,128
49,100,131
50,103,134
51,107,138
52,110,141
53,113,145
54,117,148
55,121,152
56,124,154
57,127,157
58,131,161
59,137,166
60,140,168
61,142,170
62,146,173
63,150,177
64,152,180
65,154,183
66,156,188
67,236,192
68,162,196
69,165,201
70,170,207
71,170,208
72,173,212
73,175,216
74,178,221
75,181,225
76,184,228
77,187,232
78,191,236
79,194,240
80,197,243
81,199,248
82,203,253
83,206,257
84,211,261
85,214,265
86,218,269
87,221,273
88,225,276
89,228,280
90,232,284
91,236,288
92,240,292
93,244,295
94,248,299
95,251,303
96,254,306
97,256,310
98,365,315
99,263,319
100,266,323
101,269,328
102,275,335
103,279,335
104,281,340
105,284,345
106,288,348
107,293,352
108,297,357
109,301,361
110,305,365
111,310,369
112,314,372
113,316,376
114,321,382
115,328,385
116,329,389
117,333,393
118,338,398
119,343,401
120,347,425
121,352,409
122,354,413
123,359,417
124,364,421
125,368,425
126,373,429
127,378,433
128,380,436
129,383,441
130,386,447
131,389,451
132,393,456
133,395,462
134,399,467
135,402,479
136,406,476
137,410,481
138,412,486
139,499,490
140,419,495
141,422,500
142,426,504
143,430,509
144,434,514
145,436,517
146,440,523
147,444,528
148,446,535
149,450,537
150,454,541
151,458,546
152,462,550
153,465,555
154,469,560
155,511,585
156,477,568
157,480,574
158,487,578
159,489,582
160,493,588
161,496,592
162,500,596
163,503,604
164,507,606
165,511,611
166,514,615
167,519,620
168,523,624
169,526,630
170,529,634
171,534,638
172,540,642
173,543,647
174,548,652
175,554,656
176,558,660
177,561,665
178,565,668
179,569,675
180,573,679
181,577,683
182,583,784
183,587,691
184,592,696
185,595,700
186,600,705
187,605,709
188,610,716
189,615,718
190,620,723
191,625,727
192,628,731
193,633,736
194,648,742
195,639,745
196,643,751
197,647,756
198,652,760
199,654,764
200,658,769
201,662,773
202,666,779
203,684,788
204,682,795
205,683,796
206,690,799
207,705,813
208,700,816
209,706,813
210,711,819
211,709,821
212,712,831
213,713,831
214,725,834
215,729,847
216,730,845
217,737,851
218,741,850
219,742,854
220,747,858
221,755,863
222,758,868
223,763,873
224,769,876
225,770,889
226,780,892
227,781,897
228,794,895
229,788,900
230,792,905
231,797,909
232,812,921
233,807,919
234,814,924
235,817,931
236,826,933
237,827,936
238,832,941
239,838,944
240,842,950
241,846,956
242,856,963
243,861,969
244,863,975
245,871,984
246,886,988
247,889,990
248,893,992
249,891,991
250,891,995
251,898,1006
252,914,1009
253,907,1009
254,913,1014
255,921,1026
256,939,1022
257,926,1029
258,930,1033
259,935,1038
260,953,1053
261,945,1061
262,948,1063
263,950,1067
264,962,1077
265,961,1070
266,960,1074
267,965,1078
268,969,1085
269,976,1097
270,991,1099
271,996,1103
272,1004,1116
273,1008,1124
274,1002,1124
275,1003,1127
276,1006,1133
277,1005,1128
278,1010,1132
279,1013,1137
280,1018,1142
281,1021,1147
282,1026,1153
283,1029,1157
284,1035,1161
285,1039,1168
286,1044,1172
287,1050,1178
288,1052,1181
289,1055,1186
290,1058,1190
291,1062,1196
292,1067,1201
293,1084,1207
294,1076,1211
295,1080,1217
296,1099,1224
297,1088,1226
298,1093,1231
299,1098,1236
300,1102,1242
301,1107,1246
302,1111,1251
303,1117,1255
304,1122,1261
305,1125,1265
306,1147,1271
307,1134,1275
308,1141,1281
309,1143,1286
310,1158,1292
311,1154,1295
312,1160,1301
313,1162,1305
314,1167,1321
315,1174,1315
316,1178,1320
317,1184,1327
318,1191,1329
319,1193,1334
320,1219,1355
321,1231,1366
322,1217,1353
323,1216,1355
324,1216,1364
325,1221,1367
326,1225,1372
327,1231,1385
328,1231,1379
329,1242,1389
330,1246,1393
331,1246,1397
332,1254,1400
333,1255,1410
334,1264,1410
335,1270,1416
336,1275,1423
337,1274,1425
338,1282,1433
339,1286,1440
340,1293,1440
341,1310,1460
342,1329,1472
343,1322,1468
344,1321,1469
345,1333,1482
346,1331,1480
347,1334,1485
348,1344,1493
349,1348,1492
350,1345,1488
351,1352,1496
352,1354,1499
353,1357,1507
354,1365,1511
355,1370,1517
356,1383,1535
357,1379,1530
358,1395,1540
359,1403,1544
360,1415,1546
361,1407,1552
362,1404,1547
363,1409,1552
364,1414,1560
365,1419,1573
366,1442,1586
367,1453,1587
368,1449,1586
369,1445,1613
370,1448,1592
371,1450,1593
372,1455,1598
373,1461,1611
374,1488,1630
375,1475,1614
376,1496,1629
377,1486,1635
378,1496,1641
379,1505,1641
380,1502,1643
381,1510,1647
382,1525,1660
383,1532,1662
384,1538,1663
385,1532,1664
386,1529,1669
387,1534,1672
388,1539,1677
389,1543,1682
390,1548,1688
391,1553,1692
392,1557,1698
393,1561,1701
394,1567,1705
395,1548,1705
396,1554,1709
397,1528,1705
398,1536,1709
399,1519,1704
400,1515,1708
401,1495,1701
402,1495,1707
403,1504,1709
404,1502,1714
405,1509,1722
406,1514,1722
407,1519,1732
408,1534,1734
409,1540,1742
410,1557,1746
411,1564,1752
412,1600,1774
413,1610,1783
414,1638,1807
415,1648,1803
416,1656,1827
417,1654,1883
418,1676,1801
419,1656,1806
420,1672,1906
421,1667,1815
422,1685,1821
423,1679,1826
424,1683,1831
425,1705,1845
426,1747,1850
427,1722,1868
428,1716,1870
