n,Find SIMD (O2),Insert Cache (O3)
3,449,169
4,547,250
5,696,330
6,845,429
7,1011,520
8,1248,661
9,1384,752
10,1518,940
11,1687,979
12,1854,1105
13,2025,1343
14,2202,1523
15,2397,1741
16,2638,1938
17,2617,2142
18,2741,2336
19,2899,2521
20,3059,2653
21,3286,2832
22,3399,3009
23,3579,3213
24,3777,3390
25,3846,3582
26,4024,3774
27,4131,3669
28,4289,3869
29,4524,4067
30,4628,4325
31,4813,4471
32,5011,4612
33,5295,4814
34,5492,4968
35,5648,5410
36,5785,5538
37,5964,5734
38,6157,5926
39,6360,6131
40,6563,6315
41,6763,6507
42,6901,6717
43,7076,6767
44,7318,6929
45,7507,7140
46,7663,7354
47,7871,7597
48,8152,7622
49,8618,7829
50,8761,8133
51,9009,8379
52,9130,8724
53,9393,8881
54,9544,8952
55,9822,9123
56,9979,9367
57,10271,9575
58,10365,9753
59,10574,9878
60,10740,10170
61,10947,10391
62,11198,10542
63,11418,10805
64,11572,10953
65,12051,11165
66,12211,11368
67,12415,11513
68,12597,11677
69,12811,11910
70,13019,12081
71,13236,12344
72,13453,12561
73,14118,12800
74,14319,12962
75,14518,13662
76,14724,13412
77,14962,13643
78,15187,13922
79,15350,14145
80,15639,14156
81,16255,14428
82,16482,14630
83,16674,14795
84,16882,15011
85,17056,15315
86,17330,15426
87,17518,15688
88,17823,15919
89,17672,16163
90,17755,16511
91,18022,17995
92,18229,17088
93,18439,17317
94,18671,17423
95,18906,17655
96,19147,17747
97,19965,18099
98,20150,18330
99,20321,18442
100,20533,18661
