n,Find SIMD (O2),Insert Cache (O3)
3,392,169
4,545,250
5,695,330
6,844,428
7,1010,521
8,1246,666
9,1383,750
10,1519,882
11,1687,967
12,1854,1098
13,2024,1340
14,2203,1523
15,2397,1736
16,2637,1938
17,2616,2144
18,2741,2338
19,2900,2519
20,3058,2647
21,3243,2831
22,3396,3007
23,3577,3208
24,3774,3390
25,3897,3578
26,3973,3771
27,4127,3670
28,4338,3869
29,4456,4068
30,4627,4268
31,4805,4476
32,5013,4613
33,5349,4814
34,5437,5022
35,5604,5455
36,5781,5544
37,5964,5767
38,6155,5962
39,6348,6165
40,6560,6367
41,6808,6509
42,6952,6717
43,7078,6711
44,7259,6926
45,7451,7188
46,7714,7343
47,7866,7548
48,8096,7670
49,8679,7829
50,8765,8093
51,8944,8429
52,9123,8669
53,9331,8923
54,9545,8898
55,9799,9121
56,9976,9365
57,10264,9522
58,10367,9804
59,10552,9895
60,10798,10115
61,10997,10333
62,11140,10590
63,11347,10858
64,11617,10895
65,12109,11106
66,12263,11330
67,12456,11449
68,12613,11633
69,12800,11895
70,13078,12050
71,13307,12287
72,13501,12509
73,14170,12739
74,14278,13015
75,14461,13713
76,14726,13414
77,14930,13698
78,15128,13919
79,15400,14083
80,15647,14210
81,16258,14485
82,16406,14765
83,16666,14795
84,16890,15129
85,17088,15313
86,17324,15426
87,17590,15691
88,17839,15866
89,17668,16161
90,17814,16359
91,18031,17777
92,18309,16879
93,18402,17183
94,18663,17418
95,18890,17631
96,19149,17685
97,19963,17970
98,20168,18330
99,20366,18432
100,20582,18722
