n,Find SIMD (O2),Insert Cache (O3)
3,392,169
4,545,250
5,696,331
6,844,430
7,1011,520
8,1248,659
9,1382,751
10,1519,882
11,1687,981
12,1853,1105
13,2024,1341
14,2204,1523
15,2398,1737
16,2637,1936
17,2616,2142
18,2742,2335
19,2957,2520
20,3059,2648
21,3281,2832
22,3399,3008
23,3639,3209
24,3778,3388
25,3846,3581
26,3967,3828
27,4130,3674
28,4289,3867
29,4458,4125
30,4629,4270
31,4807,4474
32,5013,4612
33,5355,4815
34,5480,4965
35,5604,5456
36,5779,5591
37,5965,5784
38,6158,5978
39,6360,6184
40,6568,6353
41,6817,6506
42,6960,6769
43,7083,6739
44,7311,6927
45,7508,7139
46,7659,7345
47,7871,7608
48,8095,7613
49,8609,7896
50,8830,8090
51,8944,8431
52,9188,8662
53,9334,8868
54,9594,8897
55,9760,9175
56,10033,9325
57,10209,9585
58,10379,9759
59,10608,9886
60,10741,10153
61,10942,10385
62,11201,10564
63,11407,10802
64,11573,10901
65,12047,11170
66,12225,11379
67,12406,11519
68,12607,11680
69,12810,11914
70,13021,12071
71,13298,12291
72,13515,12557
73,14178,12800
74,14264,13016
75,14461,13673
76,14725,13412
77,14960,13695
78,15110,13908
79,15350,14149
80,15647,14161
81,16254,14450
82,16427,14619
83,16610,14806
84,16822,15067
85,17107,15249
86,17331,15687
87,17571,15896
88,17835,15933
89,17681,16101
90,17774,16482
91,18028,17698
92,18191,16885
93,18439,17180
94,18670,17417
95,18897,17682
96,19087,17749
97,19983,18030
98,20169,18326
99,20385,18422
100,20591,18722
