COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 100
ITER_COUNT 1
NUM_TESTS 20
SEED 1752459072

Init: 59048

## MERGING 3 LISTS ##
Baseline (copy+sort) 555
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O3)                     | true    |      ? |       230,230,230 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       222,222,222 |             0.0000 |
Find (Os)                                | true    |      ? |       424,424,424 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       223,223,223 |             0.0000 |
Find (O1)                                | true    |      ? |       395,395,395 |             0.0000 |
Find (O3)                                | true    |      ? |       349,349,349 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       163,163,163 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       229,229,229 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       221,221,221 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       162,162,162 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       221,221,221 |             0.0000 |
Find (O2)                                | true    |      ? |       393,393,393 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       226,226,226 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       159,159,159 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       162,162,162 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       221,221,221 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       161,161,161 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       181,181,181 |             0.0000 |
Find (Oz)                                | true    |      ? |       418,418,418 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       213,213,213 |             0.0000 |

## MERGING 4 LISTS ##
Baseline (copy+sort) 1040
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O3)                     | true    |      ? |       390,390,390 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       299,299,299 |             0.0000 |
Find (Os)                                | true    |      ? |       582,582,582 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       363,363,363 |             0.0000 |
Find (O1)                                | true    |      ? |       544,544,544 |             0.0000 |
Find (O3)                                | true    |      ? |       490,490,490 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       247,247,247 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       389,389,389 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       305,305,305 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       248,248,248 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       373,373,373 |             0.0000 |
Find (O2)                                | true    |      ? |       554,554,554 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       303,303,303 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       243,243,243 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       247,247,247 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       302,302,302 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       246,246,246 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       307,307,307 |             0.0000 |
Find (Oz)                                | true    |      ? |       593,593,593 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       321,321,321 |             0.0000 |

## MERGING 5 LISTS ##
Baseline (copy+sort) 867
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O3)                     | true    |      ? |       566,566,566 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       398,398,398 |             0.0000 |
Find (Os)                                | true    |      ? |       735,735,735 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       533,533,533 |             0.0000 |
Find (O1)                                | true    |      ? |       695,695,695 |             0.0000 |
Find (O3)                                | true    |      ? |       629,629,629 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       322,322,322 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       537,537,537 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       389,389,389 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       325,325,325 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       529,529,529 |             0.0000 |
Find (O2)                                | true    |      ? |       698,698,698 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       390,390,390 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       319,319,319 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       323,323,323 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       384,384,384 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       323,323,323 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       450,450,450 |             0.0000 |
Find (Oz)                                | true    |      ? |       732,732,732 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       401,401,401 |             0.0000 |

## MERGING 6 LISTS ##
Baseline (copy+sort) 1547
