n,Find SIMD (O2),Insert Cache (O3)
3,40,17
4,55,25
5,71,33
6,86,43
7,102,53
8,124,65
9,137,75
10,151,88
11,169,100
12,185,110
13,201,137
14,218,155
15,237,177
16,259,196
17,256,217
18,273,238
19,287,257
20,303,270
21,319,289
22,336,307
23,351,327
24,367,343
25,377,363
26,389,385
27,405,371
28,418,392
29,435,412
30,452,435
31,464,454
32,487,470
33,515,488
34,526,502
35,546,542
36,557,557
37,574,577
38,590,595
39,608,616
40,626,635
41,644,654
42,656,675
43,676,735
44,693,702
45,704,719
46,731,738
47,745,762
48,765,766
49,821,792
50,837,820
51,853,846
52,871,876
53,886,900
54,904,902
55,926,921
56,946,942
57,969,957
58,979,982
59,995,995
60,1012,1027
61,1030,1043
62,1065,1069
63,1067,1091
64,1087,1105
65,1130,1121
66,1147,1139
67,1161,1159
68,1176,1168
69,1197,1192
70,1213,1212
71,1231,1237
72,1255,1260
73,1299,1289
74,1308,1305
75,1328,1394
76,1334,1350
77,1352,1371
78,1390,1409
79,1408,1424
80,1410,1431
81,1519,1452
82,1534,1478
83,1546,1482
84,1568,1525
85,1587,1547
86,1631,1557
87,1623,1572
88,1653,1608
89,1629,1619
90,1674,1678
91,1670,1797
92,1684,1707
93,1704,1785
94,1710,1744
95,1736,1769
96,1757,1779
97,1848,1830
98,1857,1836
99,1882,1846
100,1893,1872
