n,Find SIMD (O2),Insert Cache (O3)
3,40,17
4,55,25
5,70,33
6,86,43
7,102,52
8,126,64
9,136,74
10,149,87
11,166,95
12,182,109
13,199,135
14,216,154
15,234,175
16,259,195
17,256,215
18,268,235
19,283,253
20,299,267
21,314,285
22,330,304
23,348,324
24,366,341
25,375,361
26,387,380
27,401,370
28,417,390
29,432,410
30,448,430
31,463,451
32,483,464
33,512,484
34,522,497
35,538,542
36,556,556
37,573,577
38,590,595
39,608,616
40,628,636
41,645,654
42,658,675
43,673,675
44,689,697
45,706,717
46,724,740
47,743,759
48,762,765
49,816,787
50,829,815
51,846,839
52,861,871
53,879,891
54,901,892
55,926,917
56,940,934
57,968,954
58,975,977
59,991,995
60,1011,1019
61,1025,1040
62,1047,1060
63,1067,1087
64,1083,1098
65,1127,1118
66,1142,1140
67,1157,1147
68,1172,1168
69,1189,1188
70,1210,1207
71,1228,1234
72,1272,1279
73,1300,1290
74,1335,1324
75,1331,1394
76,1345,1359
77,1364,1381
78,1384,1404
79,1403,1430
80,1419,1437
81,1523,1456
82,1537,1481
83,1554,1492
84,1572,1521
85,1591,1543
86,1610,1556
87,1634,1582
88,1655,1605
89,1641,1630
90,1658,1689
91,1679,1795
92,1692,1713
93,1725,1736
94,1737,1780
95,1749,1787
96,1768,1790
97,1858,1821
98,1876,1858
99,1893,1859
100,1885,1910
