n,Find (Cache SIMD),Insert (Cache),Heap (Cache),Tournament Tree (Cache)
243,7024,13166,7333,8317
244,7075,13277,7309,8361
245,7120,13381,7432,8404
246,7150,13564,7363,8498
247,7182,13647,7454,8539
248,7219,13782,7420,8534
249,6978,13905,7527,8633
250,7081,14011,7534,8661
251,7130,14121,7604,8649
252,7147,14243,7591,8681
253,7341,14357,7684,8782
254,7095,14445,7681,8816
255,7225,14702,7745,8833
256,7293,14669,7713,8843
257,7939,14746,7871,8934
258,7459,14974,7805,8986
259,7573,15150,7951,8967
260,8128,15222,7928,9018
261,8145,15527,7974,9063
262,7897,15677,7982,9167
263,7751,15722,8059,9147
264,8302,15741,8077,9256
265,8540,16143,8142,9296
266,8255,16248,8118,9281
267,8354,16208,8202,9388
268,8754,16577,8167,9382
269,8881,16434,8304,9411
270,8411,16738,8273,9494
271,8566,16773,8377,9506
272,8963,16978,8352,9545
273,9078,17144,8446,9639
274,8775,17244,8426,9630
275,8868,17328,8527,9677
276,9257,17349,8446,9723
277,9387,17499,8644,9764
278,8973,17657,8569,9854
279,9046,17893,8738,9859
280,9424,17997,8581,9947
281,9720,18167,8794,9950
282,9264,18237,8668,10043
283,9331,18403,8890,10030
284,9818,18462,8726,10066
285,9870,18640,8918,10164
286,9410,18704,8861,10204
287,9461,18889,8980,10185
288,9916,18997,8927,10229
289,10105,19085,9058,10332
290,9751,19177,9008,10326
291,9715,19358,9136,10418
292,10231,19455,9027,10409
293,10307,19618,9211,10452
294,9848,19737,9154,10543
295,9904,19833,9285,10605
296,10332,19979,9223,10587
297,10601,20102,9404,10634
298,10120,20218,9277,10731
299,10153,20345,9464,10768
300,10703,20463,9319,10761
301,10740,20608,9550,10794
302,10290,20692,9454,10887
303,10329,20867,9594,10936
304,10829,20955,9499,10923
305,10982,21075,9725,10977
306,10591,21228,9643,11015
307,10572,21327,9740,11119
308,11088,21492,9606,11165
309,11178,21646,9847,11158
310,10699,21791,9768,11247
311,10722,21876,9933,11268
312,11200,22020,9747,11334
313,11400,22130,10001,11387
314,10964,22258,9924,11441
315,11064,22397,10128,11421
316,11581,22555,9941,11468
317,11555,22686,10124,11563
318,11123,22858,10053,11554
319,11173,22879,10198,11637
320,11650,23072,10057,11724
321,11857,23196,10310,11717
322,11410,23333,10160,11778
323,11503,23464,10458,11781
324,12033,23560,10271,11823
325,12082,23672,10500,11854
326,11625,23863,10447,11907
327,11611,24000,10538,11950
328,12138,24129,10426,11992
329,12352,24273,10629,12021
330,11869,24349,10504,12131
331,11899,24556,10725,12126
332,12458,24615,10529,12149
333,12489,24759,10759,12205
334,12019,24916,10678,12283
335,12057,25069,10843,12347
336,12660,25191,10713,12320
337,12850,25368,10975,12371
338,12330,25518,10780,12498
339,12417,25649,11018,12514
340,13001,25790,10815,12494
341,12987,25899,11069,12528
342,12516,26012,10983,12575
343,12531,26153,10966,12643
344,13071,26309,10972,12693
345,13300,26430,11303,12747
346,12795,26632,11071,12836
347,12819,26764,11231,12816
348,13437,26859,11141,12841
349,13468,27012,11387,12899
350,12970,27132,11275,12989
351,13052,27344,11528,12968
352,13662,27463,11367,13032
353,13840,27775,11579,13071
354,13263,27770,11412,13157
355,13290,27913,11630,13135
356,13931,28016,11459,13193
357,13971,28158,11722,13236
358,13493,28323,11695,13278
359,13479,28451,11808,13375
360,14104,28647,11616,13361
361,14312,28745,11848,13462
362,13749,29008,11726,13537
363,13810,29097,11997,13503
364,14474,29239,11801,13571
365,14450,29377,12025,13593
366,13903,29478,11980,13624
367,13987,29782,12140,13646
368,14596,29854,11911,13763
369,14744,29933,12235,13788
370,14202,30143,12065,13823
371,14304,30283,12315,13837
372,14894,30422,12119,13895
373,14991,30584,12336,13923
374,14364,30705,12300,13993
375,14421,30858,12450,14018
376,15070,31004,12302,14041
377,15345,31234,12474,14137
378,14704,31318,12345,14184
379,14735,31492,12557,14206
380,15409,31612,12479,14281
381,15464,31792,12689,14290
382,14847,31893,12502,14314
383,14897,32075,12727,14389
384,15482,32236,12576,14415
