n,Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
53,9948,9399,10160,10325,9468,8409,8605,8681,9437,9047,10643,10327,10236,10697,11067,10770,10857,10844,11247,11830
54,10168,9627,10380,10491,9670,8673,8875,8889,9736,9341,10927,10719,10579,10896,11350,10966,11023,11051,11498,12019
55,10400,9817,10579,10723,9882,8937,9154,9118,10017,9663,11271,10970,10878,11354,11719,11175,11237,11307,11674,12295
56,10663,10048,10772,10949,10088,9219,9440,9331,10315,9991,11500,11228,11150,11406,11926,11406,11480,11484,11909,12512
57,10948,10397,11204,11379,10357,9561,9735,9511,10634,10294,11817,11508,11404,11822,12252,11628,11758,11763,12127,12770
58,11078,10583,11376,11558,10522,9791,9961,9712,10945,10630,12091,11846,11720,12047,12561,11853,12002,12037,12385,13005
59,11275,10735,11608,11728,10734,10066,10280,9911,11244,10940,12451,12162,12054,12483,12860,12058,12201,12301,12614,13196
60,11481,10963,11802,11952,10912,10390,10608,10124,11570,11243,12736,12468,12347,12678,13147,12264,12436,12523,12786,13442
61,11692,11160,11982,12170,11104,10689,10904,10336,11879,11453,13084,12719,12642,13064,13449,12467,12713,12788,13046,13644
62,11868,11363,12204,12404,11346,10960,11215,10563,12184,11808,13375,13127,12974,13333,13745,12657,12955,13017,13261,13925
63,12121,11585,12406,12594,11547,11266,11570,10778,12515,12125,13757,13419,13286,13717,14130,12862,13207,13253,13451,14150
64,12359,11753,12597,12858,11769,11550,11836,10880,12748,12256,13857,13592,13470,13774,14333,13078,13425,13495,13659,14359
65,12794,12137,13064,13209,12097,11852,12137,11065,13071,12583,14113,13737,13630,14145,14602,13465,13765,13878,14085,14791
66,12953,12289,13228,13406,12301,12154,12493,11261,13507,13205,14293,13967,13835,14324,14880,13836,14098,14204,14477,15190
67,13153,12458,13411,13631,12498,12463,12798,11720,13822,13491,14574,14202,14056,14680,15195,14215,14441,14560,14857,15586
68,13353,12664,13637,13815,12690,12792,13145,11734,14172,13877,14711,14412,14275,14779,15480,14557,14782,14907,15216,15969
69,13573,12869,13829,14060,12898,13111,13483,11945,14490,14219,15004,14617,14486,15221,15772,14915,15123,15240,15608,16379
70,13809,13084,14020,14273,13097,13417,13805,12147,14838,14523,15232,14880,14741,15393,16059,15257,15441,15556,15965,16762
71,14033,13273,14205,14500,13304,13745,14128,12333,15209,14930,15540,15135,14992,15803,16409,15603,15768,15850,16326,17128
72,14271,13517,14404,14767,13526,14072,14480,12495,15561,15305,15693,15332,15190,15785,16684,15936,16068,16165,16671,17489
73,15160,14243,15016,15377,14068,14379,14819,12757,15919,15617,15969,15527,15376,16314,16973,16306,16422,16491,17067,17870
74,15299,14393,15196,15560,14225,14712,15171,12960,16278,16004,16231,15796,15671,16436,17254,16654,16742,16810,17421,18231
75,15507,14596,15396,15816,14426,15042,15516,13221,16648,16328,16502,16052,15914,16921,17589,16991,17062,17125,17776,18575
76,15730,14801,15594,16054,14644,15383,15880,13280,16994,16739,16730,16302,16166,16896,17856,17318,17377,17419,18100,18900
77,15960,14998,15791,16223,14845,15714,16234,13524,17416,17293,17028,16557,16415,17504,18176,17653,17689,17727,18438,19254
78,16215,15209,15929,16498,15032,16038,16593,13722,17756,17555,17352,16884,16733,17571,18436,17964,18002,18034,18735,19576
79,16450,15446,16170,16716,15254,16409,16965,13959,18160,17980,17684,17172,16997,18127,18784,18279,18296,18320,19031,19889
80,16709,15687,16362,16971,15478,16735,17379,14999,18573,18042,17818,17389,17189,17903,19020,18576,18590,18572,19295,20183
81,16996,16417,16897,17391,15967,17079,17766,15209,19002,18455,18084,17573,17383,18594,19311,18926,18875,18868,19605,20549
82,17129,16554,17069,17544,16108,17455,18083,14685,19295,19261,18340,17860,17667,18566,19582,19249,19172,19140,19896,20880
83,17339,16762,17262,17767,16313,17805,18467,14911,19713,19734,18629,18144,17919,19220,19914,19547,19436,19389,20151,21201
84,17574,16993,17469,18032,16546,18165,18856,15233,20121,20086,18825,18405,18187,18999,20161,19808,19694,19634,20381,21474
85,17816,17212,17676,18275,16748,18535,19241,15453,20526,20461,19177,18676,18444,19767,20474,20077,19934,19884,20630,21772
86,18052,17432,17867,18482,16968,18894,19637,15464,20951,20832,19502,19012,18774,19751,20732,20309,20179,20106,20856,22052
87,18314,17673,18069,18756,17181,19257,20032,15751,21311,21105,19861,19347,19090,20388,21077,20552,20409,20341,21081,22307
88,18566,17941,18263,18999,17412,19631,20435,15983,21731,21527,20060,19597,19355,20235,21327,20756,20625,20546,21292,22547
89,19143,17725,18863,19417,17649,20009,20839,16202,22116,21991,20381,19859,19604,20959,21650,21005,20880,20817,21539,22825
90,19294,17884,19046,19603,17825,20372,21239,16527,22550,22415,20689,20198,19954,20976,21913,21226,21136,21052,21769,23086
91,19530,18078,19237,19859,18032,20773,21661,16713,22959,22860,21037,20519,20253,21578,22236,21451,21372,21313,22002,23333
92,19758,18280,19447,20113,18255,21185,22119,16916,23433,23233,21280,20820,20576,21493,22489,21666,21594,21526,22222,23558
93,19993,18502,19677,20349,18458,21582,22540,17158,23893,23654,21661,21115,20853,22186,22812,21887,21867,21768,22460,23823
94,20242,18706,19846,20566,18666,21953,22935,17399,24201,24028,22013,21496,21218,22213,23064,22091,22067,21989,22681,24078
95,20491,18931,20057,20829,18888,22331,23358,17639,24651,24497,22435,21848,21536,22804,23395,22312,22311,22238,22898,24321
96,20771,19193,20255,21097,19108,22729,23792,17717,25128,24817,22557,22058,21744,22589,23656,22516,22526,22451,23123,24553
97,21020,19655,20820,21926,19761,23129,24232,18003,25487,24980,22862,22267,21936,23302,23996,22799,22825,22755,23380,24843
98,21206,19814,20992,22114,19927,23536,24665,18279,25904,25467,23099,22560,22220,23277,24229,23056,23081,23016,23632,25109
99,21431,20023,21197,22354,20144,23942,25125,18557,26342,25913,23360,22841,22462,23888,24603,23330,23367,23310,23885,25374
100,21664,20250,21417,22623,20381,24341,25575,18921,26818,26376,23565,23098,22749,23719,24841,23562,23633,23550,24121,25627
