n,Find,Find Cache,Find Pair,Find Multiway,Find Multiway Cache,Find Multiway Var,Find Branchless Cache,Find Branchless Cache Unrolled
3,222,222,262,162,193,157,133,138
4,358,358,430,270,311,271,185,194
5,608,517,451,403,442,413,251,269
6,867,665,620,572,581,542,318,433
