n,Find Unrolled (O1),Find Unrolled (O2),Find Unrolled (O3),Find Unrolled (Os),Find Unrolled (Oz),Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
38,12870,12875,12788,12844,12783,5386,5056,5043,5107,5108,4963,5096,5782,5497,5494,6819,6731,6647,6732,7196,7362,7033,7055,7679,8010,0,0,0,0,0
39,13336,13364,13268,13403,13318,5531,5203,5198,5248,5245,5168,5310,5984,5795,5754,7113,6985,6888,7127,7479,7636,7316,7308,7964,8300,0,0,0,0,0
40,13974,13904,14042,13983,13992,5682,5351,5416,5396,5405,5373,5513,6097,5985,5959,7269,7165,7079,7198,7691,7873,7553,7561,8205,8559,0,0,0,0,0
41,14365,14499,14417,14584,14437,6201,5716,5711,5724,5775,5588,5725,6301,6266,6275,7504,7377,7271,7569,7931,8188,7915,7881,8540,8897,0,0,0,0,0
42,15065,15067,15054,15070,15068,6345,5829,5829,5851,5899,5794,5944,6502,6493,6496,7744,7650,7526,7674,8195,8453,8137,8142,8826,9238,0,0,0,0,0
43,15959,15975,16010,16032,15960,6498,5976,5973,5997,6050,6022,6169,6911,6741,6737,8045,7918,7798,8078,8478,8683,8383,8409,9084,9453,0,0,0,0,0
44,16543,16480,16595,16519,16607,6677,6134,6121,6143,6201,6240,6386,7011,7016,7004,8304,8198,8041,8174,8715,8884,8598,8628,9298,9665,0,0,0,0,0
45,17474,17448,17553,17428,17501,6791,6244,6245,6253,6316,6468,6624,7210,7263,7242,8532,8461,8276,8589,8975,9096,8867,8865,9541,9959,0,0,0,0,0
46,17957,17968,18055,17986,17956,6908,6363,6351,6382,6439,6704,6865,7394,7545,7529,8838,8767,8579,8727,9248,9342,9052,9061,9737,10115,0,0,0,0,0
47,18692,18564,18598,18598,18612,7076,6506,6505,6529,6581,6970,7120,8061,7851,7804,9285,9094,8916,9198,9593,9477,9286,9306,9992,10339,0,0,0,0,0
48,19698,19676,19721,19675,19690,7240,6655,6650,6677,6740,7169,7335,7870,8035,8058,9279,9250,9099,9178,9753,9651,9489,9475,10116,10548,0,0,0,0,0
49,20132,20185,20209,20136,20240,7650,7001,7006,7031,7128,7419,7591,8101,8314,8289,9510,9459,9261,9594,10020,9900,9752,9765,10428,10837,0,0,0,0,0
50,21002,20931,21021,20901,20946,7785,7131,7124,7155,7261,7680,7829,8256,8601,8540,9756,9764,9558,9683,10250,10139,10022,10010,10704,11101,0,0,0,0,0
