n,Baseline (copy+sort),Find SIMD,Insert Cache,Heap Cache,Tournament Tree
204,6212,4506,5372,5592,5565
205,6094,4525,5412,5617,5599
206,6236,4543,5446,5654,5621
207,6223,4573,5915,5684,5658
208,6354,4592,5965,5718,5694
209,6260,4726,6007,5738,5707
210,6394,4739,6041,5787,5746
211,6339,4767,5634,5812,5767
212,6463,4790,5670,5850,5792
213,6323,4805,5711,5885,5832
214,6561,4832,5739,5932,5855
215,6459,4854,5776,5964,5876
216,6569,4878,5832,5999,5908
217,6457,5380,5866,6034,5932
218,6628,5404,5905,6077,5963
219,6568,5434,5876,6112,5999
220,6747,5462,5925,6153,6014
221,6634,5483,5968,6186,6056
222,6845,5499,6001,6229,6079
223,6669,5534,6216,6264,6113
224,6864,5560,6258,6294,6130
225,6759,5638,6299,6330,6155
226,6960,5664,6337,6364,6191
227,6872,5694,6174,6393,6213
228,7019,5717,6225,6433,6257
229,6893,5739,6257,6454,6267
230,7185,5770,6315,6505,6303
231,7016,5790,6330,6540,6334
232,7127,5824,6376,6575,6358
233,7041,5693,6407,6609,6372
234,7249,5716,6443,6648,6408
235,7099,5745,7037,6685,6450
236,7261,5772,7077,6722,6458
237,7229,5777,7107,6756,6500
238,7335,5828,7151,6808,6523
239,7276,5849,6944,6835,6549
240,7466,5871,7025,6880,6594
241,7287,6002,7062,6916,6620
242,7490,6032,7112,6953,6643
243,7406,6071,6904,6990,6675
244,7547,6108,7002,7031,6713
245,7532,6167,7007,7080,6741
246,7669,6198,7039,7121,6777
247,7490,6220,7124,7174,6814
248,7694,6240,7183,7216,6833
249,7587,6737,7213,7261,6861
250,7767,6809,7263,7295,6892
251,7609,6812,7466,7336,6921
252,7785,6887,7524,7378,6946
253,7747,6874,7577,7420,6966
254,7869,6916,7613,7457,7006
255,7765,6980,7423,7497,7025
256,7934,6945,7461,7533,7054
257,7872,6802,7506,7550,7114
258,8091,7168,7581,7589,7148
259,7952,7202,7635,7615,7207
260,8116,6936,7754,7654,7240
261,7949,6975,7907,7674,7329
262,8181,7316,7802,7709,7338
263,8043,7340,7881,7739,7380
264,8282,7180,8014,7773,7408
265,8158,7352,8106,7796,7461
266,8317,7849,8062,7832,7493
267,8271,7918,8216,7864,7541
268,8325,7634,8333,7898,7594
269,8279,7658,8431,7975,7631
270,8445,8002,8239,7966,7681
271,8338,7950,8391,8000,7719
272,8460,7750,8597,8033,7756
273,8449,7972,8666,8080,7810
274,8718,8325,8718,8087,7859
275,8643,7972,8894,8166,7909
276,8631,8123,8727,8150,7942
277,8583,8197,9245,8178,7983
278,8715,8597,8797,8222,8046
279,8599,8658,9082,8248,8067
280,8773,8379,9292,8290,8104
281,8592,8563,9367,8313,8144
282,8806,8986,9397,8353,8193
283,8866,9047,9375,8408,8230
284,8946,8679,9657,8426,8274
285,8815,8708,9766,8449,8311
286,8908,9116,9475,8491,8355
287,8831,9103,9548,8523,8374
288,9148,8820,9884,8612,8430
289,8877,9002,9964,8585,8503
290,9226,9515,9884,8616,8521
291,8967,9543,9941,8640,8610
292,9146,9095,10157,8690,8607
293,9093,9129,10219,8702,8650
294,9340,9595,10134,8740,8736
295,9206,9619,10172,8779,8743
296,9386,9214,10316,8828,8778
297,9199,9395,10447,8888,8809
298,9552,9937,10375,8878,8864
299,9307,9962,10424,8926,8910
300,9527,9494,10593,8956,8955
301,9429,9530,10671,8994,8998
302,9604,10037,10605,9024,9030
303,9435,10057,10676,9107,9071
304,9774,9624,10819,9112,9105
