n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
872,1697,5336,5399,5038,4789
873,1701,5341,5406,5050,4785
874,1703,5347,5414,5048,4800
875,1705,5349,5420,5096,4795
876,1707,5356,5437,5091,4812
877,1710,5359,5437,5143,4818
878,1712,5363,5452,5165,4824
879,1714,5378,5445,5106,4830
880,1716,5380,5460,5139,4825
881,1719,5384,5458,5080,4838
882,1722,5393,5464,5097,4846
883,1723,5393,5469,5169,4851
884,1727,5403,5483,5162,4850
885,1728,5412,5485,5099,4855
886,1731,5417,5499,5135,4871
887,1734,5433,5498,5161,4869
888,1737,5430,5504,5188,4884
889,1740,5435,5519,5205,4880
890,1741,5444,5518,5210,4897
891,1743,5456,5523,5207,4902
892,1747,5457,5531,5191,4900
893,1749,5471,5537,5170,4904
894,1750,5479,5543,5221,4910
895,1753,5484,5558,5250,4915
896,1756,5484,5558,5192,4934
897,1758,5493,5561,5180,4931
898,1761,5502,5568,5188,4936
899,1778,5519,5584,5259,4966
900,1780,5527,5596,5217,4974
901,1782,5529,5602,5243,4971
902,1785,5543,5606,5287,4979
903,1788,5541,5611,5291,4984
904,1790,5551,5617,5318,4999
905,1792,5573,5630,5327,5007
906,1795,5569,5629,5266,5012
907,1797,5583,5639,5284,5011
908,1786,5568,5625,5283,5002
909,1788,5566,5631,5281,5019
910,1790,5579,5636,5264,5015
911,1793,5583,5644,5282,5030
912,1795,5592,5646,5281,5038
913,1798,5600,5653,5306,5037
914,1800,5602,5657,5305,5042
915,1804,5624,5669,5301,5051
916,1806,5615,5672,5320,5064
917,1808,5626,5687,5390,5067
918,1811,5636,5689,5315,5066
919,1812,5641,5690,5335,5076
920,1814,5643,5704,5411,5093
921,1817,5650,5705,5338,5089
922,1820,5653,5717,5430,5097
923,1823,5661,5717,5375,5100
924,1825,5674,5720,5385,5113
925,1827,5677,5732,5377,5113
926,1829,5687,5744,5371,5119
927,1833,5691,5742,5398,5134
928,1834,5694,5756,5432,5141
929,1837,5703,5763,5492,5148
930,1840,5715,5760,5418,5146
931,1842,5737,5767,5424,5153
932,1846,5730,5774,5470,5168
933,1847,5741,5780,5490,5176
934,1850,5742,5793,5423,5174
935,1852,5748,5793,5432,5175
936,1854,5741,5797,5441,5193
937,1856,5757,5805,5528,5189
938,1859,5757,5812,5524,5196
939,1862,5765,5816,5516,5211
940,1866,5768,5825,5479,5210
941,1868,5776,5839,5469,5215
942,1869,5778,5838,5546,5219
943,1872,5795,5843,5479,5237
944,1874,5794,5852,5489,5232
945,1876,5814,5856,5577,5239
946,1880,5812,5861,5497,5255
947,1898,5817,5867,5513,5256
948,1887,5822,5883,5583,5260
949,1889,5829,5880,5606,5264
950,1889,5836,5886,5575,5271
951,1892,5841,5902,5533,5287
952,1895,5870,5902,5537,5284
953,1896,5857,5907,5565,5288
954,1900,5864,5915,5663,5296
955,1902,5872,5921,5613,5302
956,1906,5880,5930,5653,5319
957,1907,5892,5940,5635,5314
958,1911,5887,5943,5573,5319
959,1912,5899,5949,5599,5326
960,1915,5906,5961,5592,5332
961,1918,5910,5964,5604,5350
962,1920,5915,5968,5602,5346
963,1923,5928,5979,5618,5362
964,1927,5938,5985,5609,5368
965,1929,5932,5992,5693,5367
966,1931,5944,5996,5698,5381
967,1934,5951,6011,5635,5381
968,1938,5968,6010,5638,5389
969,1939,5969,6016,5637,5391
970,1942,5983,6032,5710,5407
971,1944,5993,6032,5730,5413
972,1946,5989,6050,5736,5411
973,1949,5995,6042,5678,5417
974,1953,6010,6051,5681,5429
975,1954,6010,6059,5691,5430
976,1961,6044,6064,5791,5435
977,1960,6029,6072,5699,5454
978,1962,6025,6080,5716,5464
979,1964,6036,6086,5713,5466
980,1968,6047,6098,5726,5474
981,1970,6061,6105,5795,5469
982,1973,6060,6106,5738,5489
983,1976,6091,6120,5762,5490
984,1978,6080,6119,5762,5489
985,1982,6084,6126,5808,5506
986,1985,6085,6133,5849,5500
987,1986,6088,6140,5834,5510
988,1988,6106,6147,5838,5511
989,1991,6111,6151,5802,5519
990,1994,6124,6158,5783,5525
991,1996,6129,6163,5792,5530
992,1999,6123,6174,5818,5536
993,2002,6135,6176,5804,5554
994,2005,6145,6192,5812,5550
995,2008,6146,6197,5908,5566
996,2010,6147,6200,5907,5562
997,2012,6167,6206,5938,5572
998,2015,6165,6212,5910,5575
999,2017,6173,6222,5943,5581
1000,2020,6175,6234,5945,5597
