n,Find (Cache),Find (Cache Unrolled)
3,17,12
4,26,19
5,35,28
6,45,35
7,57,46
8,71,59
9,95,68
10,113,88
11,136,106
12,163,125
13,184,149
14,212,181
15,240,204
16,274,237
17,308,264
18,361,346
19,394,328
20,426,385
21,489,431
22,527,467
23,557,500
24,580,537
25,616,584
26,654,630
27,703,685
28,740,721
29,774,769
30,825,866
31,863,877
32,912,890
33,957,990
34,1012,997
35,1053,1089
36,1091,1142
37,1189,1215
38,1246,1240
39,1295,1344
40,1343,1388
41,1394,1447
42,1471,1501
43,1499,1600
44,1532,1632
45,1600,1705
46,1650,1810
47,1697,1845
48,1761,1928
49,1808,1975
50,1862,2036
51,1919,2141
52,1983,2196
53,2034,2246
54,2099,2366
55,2158,2425
56,2217,2531
57,2277,2605
58,2343,2671
59,2402,2734
60,2464,2808
61,2527,2910
62,2589,2768
63,2657,2775
64,2722,2874
65,2839,2923
66,2856,2986
67,2925,3069
68,2992,3154
69,3073,3210
70,3134,3306
71,3207,3470
72,3277,3503
73,3408,3558
74,3482,3651
75,3498,3758
76,3570,3849
77,3646,3958
78,3725,4044
79,3799,4194
80,3881,4325
81,3954,4341
82,4029,4447
83,4110,4517
84,4194,4605
85,4269,4719
86,4397,4838
87,4435,4888
88,4522,4974
89,4606,5103
90,4683,5216
91,4766,5380
92,4878,5393
93,4936,5520
94,5080,5611
95,5106,5680
96,5198,5879
97,5341,5884
98,5378,6036
99,5466,6204
100,5559,6247
101,5651,6352
102,5739,6507
103,5837,6689
104,5926,6676
105,6019,6816
106,6121,6944
107,6214,7045
108,6311,7205
109,6402,7259
110,6506,7385
111,6603,7511
112,6702,7635
113,6796,7765
114,6903,7913
115,7010,8011
116,7103,8147
117,7205,8332
118,7308,8458
119,7402,8574
120,7566,8647
121,7619,8728
122,7719,8895
123,7826,9068
124,7939,9228
125,8042,9346
126,8158,9395
127,8323,9539
128,8424,9676
129,8534,9814
130,8647,9957
131,8701,10078
132,8819,10185
133,8931,10420
134,9047,10503
135,9150,10653
136,9269,10822
137,9385,10942
138,9504,11109
139,9619,11197
140,9790,11363
141,9856,11477
142,9969,11704
143,10094,11842
144,10224,11939
145,10337,12086
146,10446,12171
147,10578,12391
148,10697,12601
149,10879,12717
150,10950,12818
151,11065,13055
152,11192,13110
153,11375,13344
154,11511,13459
155,11582,13724
156,11760,13813
157,11835,13915
158,11960,14122
159,12114,14269
160,12255,14461
161,12373,14630
162,12568,14730
163,12645,14915
164,12831,15037
165,12909,15250
166,13091,15380
167,13180,15605
168,13322,15859
169,13513,15991
170,13589,16181
171,13783,16346
172,13861,16428
173,14037,16605
174,14141,16781
175,14287,17009
176,14480,17247
177,14571,17386
178,14753,17529
179,14856,17711
180,15002,17918
181,15155,17948
182,15294,18204
183,15424,18382
184,15611,18547
185,15759,18756
186,15874,18876
187,16007,19163
188,16165,19350
189,16318,19463
190,16502,19733
191,16667,19847
192,16810,20103
193,16920,20254
194,17066,20433
195,17275,20541
196,17359,20837
197,17595,20892
198,17739,21090
199,17898,21407
200,17972,21522
201,18154,21817
202,18353,22057
203,18457,22104
204,18625,22420
205,18802,22555
206,18977,22637
207,19087,22904
208,19252,23163
209,19447,23355
210,19570,23458
211,19745,23760
212,19950,23929
213,20125,24111
214,20236,24378
215,20411,24579
216,20609,24719
217,20801,24901
218,20911,25122
219,21078,25398
220,21242,25657
221,21482,25724
222,21650,26056
223,21769,26111
224,22005,26432
225,22160,26648
226,22284,26834
227,22513,27141
228,22703,27315
229,22868,27446
230,23033,27692
231,23329,28053
232,23719,28406
233,23920,28604
234,23885,28973
235,24055,29037
236,24297,29102
237,24415,29591
238,24431,29542
239,24702,29734
240,24754,30102
241,25009,30246
242,25148,30667
243,25643,30877
244,25854,31381
245,25969,31354
246,26261,31696
247,26423,31968
248,26551,32196
249,26666,32185
250,26906,32521
