n,Find SIMD (O2),Insert Cache (O3)
3,40,17
4,55,25
5,70,33
6,87,44
7,104,53
8,126,65
9,137,75
10,149,90
11,167,98
12,184,110
13,200,136
14,218,155
15,236,175
16,258,196
17,257,215
18,270,235
19,283,253
20,298,267
21,315,291
22,331,303
23,347,323
24,368,342
25,376,366
26,390,383
27,405,374
28,419,390
29,431,411
30,450,431
31,470,457
32,488,470
33,520,491
34,527,504
35,539,548
36,558,564
37,574,580
38,625,598
39,634,623
40,635,641
41,648,661
42,659,678
43,683,681
44,697,699
45,716,726
46,731,745
47,750,766
48,771,768
49,817,788
50,830,834
51,849,840
52,843,885
53,861,908
54,902,893
55,920,916
56,942,936
57,959,956
58,973,981
59,994,994
60,1008,1015
61,1031,1044
62,1049,1065
63,1065,1090
64,1085,1099
65,1129,1115
66,1138,1138
67,1161,1148
68,1177,1168
69,1198,1189
70,1213,1211
71,1231,1236
72,1253,1254
73,1286,1280
74,1298,1302
75,1316,1376
76,1343,1350
77,1355,1374
78,1371,1400
79,1389,1412
80,1410,1436
81,1513,1457
82,1525,1470
83,1537,1480
84,1557,1506
85,1572,1579
86,1609,1540
87,1616,1574
88,1645,1595
89,1639,1627
90,1640,1642
91,1661,1782
92,1702,1700
93,1696,1722
94,1717,1752
95,1741,1787
96,1758,1780
97,1858,1812
98,1874,1845
99,1894,1869
100,1892,1882
