n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
301,11209,10949,10824,11323,11502,8865,9347,9558,9392,9456,9346,10205,10877,9773,9899
302,10844,10581,10383,10966,11182,8992,9383,9458,9395,9505,9417,10285,10870,9793,9891
303,10967,10569,10423,11010,11187,8934,9415,9672,9474,9487,9414,10307,10958,9846,9939
304,11341,11138,10882,11417,11837,9050,9497,9462,9447,9572,9454,10378,11033,9943,9978
305,11584,11322,11070,11641,12059,9051,9516,9644,9545,9552,9500,10381,11063,9985,10018
306,11198,10866,10743,11260,11482,9037,9570,9628,9550,9654,9540,10431,11107,9997,10096
307,11259,10950,10755,11325,11490,9104,9566,9825,9555,9632,9578,10485,11082,10022,10136
308,11684,11412,11162,11736,12127,9175,9615,9617,9603,9755,9654,10558,11138,10103,10156
309,11697,11425,11215,11798,12113,9132,9646,9898,9675,9703,9673,10561,11235,10162,10196
310,11351,11018,10858,11522,11670,9231,9662,9836,9676,9747,9692,10651,11226,10160,10215
311,11372,10998,10880,11471,11632,9292,9703,9951,9778,9813,9741,10627,11271,10233,10309
312,11824,11571,11327,11947,12416,9258,9765,9763,9765,9852,9819,10677,11299,10295,10378
313,11985,11772,11520,12167,12620,9275,9811,9993,9826,9861,9880,10770,11359,10401,10403
314,11617,11373,11145,11784,12078,9325,9900,9943,9869,9965,9875,10849,11408,10362,10386
315,11660,11395,11161,11788,12023,9444,9871,10078,9856,9932,9961,10817,11434,10486,10441
316,12076,11818,11600,12200,12677,9404,9902,9938,9934,9984,9950,10862,11480,10440,10476
317,12158,11887,11661,12253,12679,9417,9942,10002,9976,10021,10010,10902,11541,10514,10510
318,11770,11427,11264,11959,12209,9480,9989,10085,10003,10067,10048,10940,11581,10545,10596
319,11799,11468,11293,11956,12238,9503,10029,10248,10045,10102,10093,10973,11621,10595,10592
320,12214,11997,11773,12357,12889,9546,10063,10084,10086,10156,10114,11015,11665,10639,10678
321,12449,12242,11975,12490,12969,9558,10107,10325,10116,10151,10157,11133,11725,10683,10684
322,12087,11802,11568,12133,12480,9603,10132,10166,10159,10196,10192,11110,11743,10722,10762
323,12111,11843,11605,12174,12512,9607,10179,10392,10173,10221,10233,11153,11785,10835,10802
324,12556,12332,12074,12584,13044,9683,10216,10230,10217,10276,10273,11204,11843,10898,10806
325,12584,12366,12107,12594,13095,9671,10246,10466,10249,10337,10334,11231,11883,10919,10888
326,12198,11907,11675,12295,12620,9714,10278,10386,10294,10352,10359,11277,11924,10954,10890
327,12237,11966,11734,12328,12679,9740,10322,10561,10317,10378,10402,11346,11962,11021,10971
328,12708,12486,12217,12755,13312,9780,10343,10394,10353,10424,10462,11368,12004,11024,10972
329,12913,12756,12448,12926,13605,9783,10368,10636,10383,10446,10519,11416,12059,11138,11067
330,12677,12322,12041,12586,13063,9833,10427,10503,10431,10507,10539,11466,12099,11141,11124
331,12622,12358,12079,12633,13125,9860,10455,10719,10494,10555,10572,11525,12122,11178,11115
332,12994,12847,12526,13019,13624,9909,10490,10562,10517,10588,10651,11545,12183,11291,11155
333,13137,12897,12581,13131,13663,9918,10531,10842,10612,10631,10660,11585,12207,11362,11265
334,12734,12462,12133,12773,13275,9982,10556,10768,10652,10651,10696,11705,12280,11331,11286
335,12796,12532,12196,12799,13247,10013,10611,10946,10683,10700,10744,11673,12318,11390,11395
336,13201,13033,12770,13256,13916,10039,10642,10730,10660,10723,10784,11703,12423,11414,11399
337,13471,13190,12928,13389,14003,10167,10691,10932,10692,10806,10827,11756,12384,11572,11422
338,13139,12768,12523,13016,13428,10106,10704,10788,10764,10795,10926,11869,12433,11591,11428
339,13074,12816,12535,12992,13465,10122,10837,11069,10783,10902,10961,11908,12470,11632,11524
340,13629,13330,13099,13464,14030,10183,10797,10880,10836,10945,10945,11878,12510,11677,11562
341,13710,13425,13089,13543,14140,10219,10817,11143,10922,10913,11057,11930,12576,11695,11580
342,13238,12908,12632,13136,13585,10238,10919,11066,10979,10967,11096,12025,12602,11738,11594
343,13255,12907,12732,13170,13644,10266,10919,11215,10947,11077,11081,12052,12701,11721,11681
344,13764,13470,13252,13664,14381,10372,10943,10991,10968,11121,11128,12032,12760,11863,11712
345,13923,13769,13415,13874,14539,10445,11070,11263,11030,11176,11206,12160,12737,11875,11718
346,13527,13165,12939,13441,13885,10391,11002,11090,11099,11137,11206,12162,12796,11919,11717
347,13570,13197,12983,13502,13962,10411,11078,11354,11118,11186,11229,12168,12834,11902,11812
348,14031,13732,13498,13948,14564,10467,11116,11155,11166,11196,11259,12198,12893,11957,11867
349,14068,13761,13521,14071,14586,10535,11122,11406,11215,11237,11333,12255,12939,12024,11848
350,13709,13294,13073,13588,14027,10544,11183,11289,11249,11315,11365,12294,12976,12026,11916
351,13699,13326,13113,13625,14108,10576,11233,11502,11300,11334,11400,12347,13000,12125,11922
352,14239,13945,13684,14152,14766,10632,11245,11347,11361,11379,11466,12379,13027,12183,12027
353,14477,14098,13884,14384,15014,10634,11298,11576,11365,11408,11468,12408,13061,12152,12106
354,14009,13607,13396,13902,14329,10721,11318,11418,11397,11422,11513,12449,13124,12191,12155
355,14048,13659,13424,13956,14383,10711,11366,11652,11453,11487,11558,12514,13176,12213,12096
356,14560,14203,13988,14477,15001,10765,11409,11461,11496,11516,11586,12554,13210,12289,12219
357,14586,14229,14011,14517,15087,10769,11451,11742,11549,11562,11648,12588,13251,12325,12259
358,14173,13739,13521,14100,14543,10821,11481,11652,11571,11599,11686,12616,13320,12490,12308
359,14153,13765,13551,14167,14575,10864,11526,11831,11599,11650,11711,12652,13342,12512,12246
360,14728,14378,14140,14673,15207,10890,11544,11658,11655,11694,11763,12692,13368,12527,12310
361,14885,14572,14344,14835,15814,10918,11612,11897,11671,11719,11770,12759,13408,12493,12374
362,14419,14042,13844,14385,15204,10961,11613,11775,11726,11787,11835,12803,13501,12609,12512
363,14447,14118,13891,14414,15286,10990,11741,11994,11775,11853,11859,12868,13507,12671,12466
364,15015,14683,14475,14939,15847,11081,11805,11893,11897,11895,11921,12930,13550,12582,12504
365,15062,14723,14490,15049,15901,11079,11749,12112,11870,11903,11945,12903,13615,12651,12579
366,14697,14234,13984,14567,15401,11184,11790,11935,11962,11927,12040,13006,13633,12714,12660
367,14596,14217,14004,14662,15399,11308,11854,12118,11953,12004,12072,12991,13713,12774,12686
368,15233,14851,14637,15130,16083,11347,11915,11919,12069,11987,12060,13046,13742,12927,12709
369,15458,15084,14840,15376,16663,11241,11975,12206,12046,12052,12173,13108,13772,12833,12699
370,15003,14543,14386,14949,16119,11291,11950,12122,12132,12087,12221,13179,13824,12936,12799
371,15017,14516,14415,14920,16114,11400,12004,12286,12160,12143,12176,13132,13889,12927,12832
372,15510,15106,14928,15484,16664,11358,12087,12145,12158,12208,12263,13203,13949,12953,12878
373,15630,15226,14988,15544,16827,11466,12094,12405,12197,12222,12246,13269,13982,13003,12847
374,15178,14636,14501,15047,16254,11510,12145,12286,12276,12274,12318,13348,14012,13069,12945
375,15211,14671,14486,15136,16382,11531,12223,12446,12295,12295,12396,13366,14075,13098,12992
376,15725,15356,15109,15626,16999,11524,12152,12333,12344,12380,12380,13373,14126,13069,13040
377,16048,15638,15352,16332,17579,11606,12208,12484,12379,12418,12436,13446,14118,13093,13067
378,15583,15018,14869,15805,16858,11641,12249,12371,12496,12466,12518,13421,14191,13176,13092
379,15460,15056,14892,15886,16958,11614,12360,12648,12468,12512,12509,13494,14219,13305,13140
380,16142,15704,15427,16423,17567,11691,12335,12510,12523,12546,12582,13537,14231,13353,13208
381,16159,15728,15562,16417,17544,11710,12386,12675,12589,12555,12572,13615,14324,13289,13208
382,15740,15211,14974,15972,17087,11945,12446,12583,12674,12593,12617,13634,14382,13393,13267
383,15714,15221,14968,16042,17108,11888,12462,12739,12642,12661,12672,13682,14622,13483,13309
384,16372,15918,15631,16644,17843,11963,12491,12623,12683,12727,12684,13715,14429,13381,13375
385,16584,16176,15881,17293,18098,11843,12599,12849,12764,12787,12770,13706,14428,13471,13438
386,16002,15518,15328,16740,17386,11919,12634,12729,12801,12804,12824,13744,14497,13457,13469
387,16117,15542,15331,16741,17489,11920,12584,12961,12857,12769,12789,13804,14597,13606,13492
388,16686,16180,15988,17332,18119,12055,12652,12710,12898,12829,12836,13898,14709,13612,13559
389,16643,16255,16013,17464,18190,12036,12769,13048,12878,12945,12940,13881,14607,13596,13494
390,16196,15630,15461,16932,17506,12211,12725,12922,12963,12886,12915,13987,14687,13730,13488
391,16307,15683,15442,16885,17636,12096,12802,13132,12998,12944,12962,14007,14779,13651,13638
392,16948,16482,16148,17611,18450,12123,12831,12851,12988,13070,12994,14058,14740,13737,13675
393,17163,16737,16403,17879,18593,12101,12923,13182,13063,13049,13102,14119,14781,13822,13713
394,16567,16022,15798,17357,17815,12206,12919,12992,13108,13073,13159,14109,14815,13909,13728
395,16586,16025,15829,17346,17890,12192,12939,13274,13112,13173,13122,14103,14931,13989,13677
396,17208,16674,16468,17962,18630,12280,13005,13175,13160,13212,13220,14226,14967,13879,13817
397,17251,16756,16497,18052,18672,12274,13057,13381,13234,13228,13233,14179,14982,14028,13844
398,16797,16156,15930,17484,18090,12341,13168,13238,13297,13263,13207,14305,15053,14030,13839
399,16810,16154,15963,17563,18103,12408,13116,13535,13274,13369,13259,14316,15079,13991,13865
400,17432,16962,16653,18239,18957,12409,13148,13294,13312,13401,13368,14354,15128,14056,13937
401,17719,17262,16874,18432,19160,12376,13153,13561,13331,13396,13391,14418,15175,14202,13999
402,17161,16498,16245,17818,18355,12442,13253,13397,13433,13473,13404,14450,15238,14341,14112
403,17193,16610,16358,17915,18476,12495,13263,13628,13428,13512,13426,14463,15298,14288,14129
404,17844,17318,16999,18541,19193,12550,13332,13449,13530,13509,13503,14466,15277,14260,14087
405,17854,17375,17039,18545,19269,12509,13413,13730,13535,13532,13546,14569,15315,14249,14153
406,17240,16726,16422,18028,18587,12570,13415,13597,13619,13592,13537,14618,15425,14415,14198
407,17258,16749,16448,18110,18688,12653,13468,13820,13619,13635,13582,14624,15445,14479,14335
408,18088,17548,17151,18725,19505,12716,13508,13689,13658,13712,13682,14653,15443,14371,14312
409,18285,17864,17407,18926,19559,12678,13524,13949,13676,13762,13713,14713,15521,14542,14370
410,17600,17045,16763,18282,18843,12725,13541,13710,13747,13775,13679,14719,15512,14545,14328
411,17616,17073,16786,18355,18929,12745,13598,13980,13772,13827,13732,14769,15558,14484,14389
412,18262,17833,17502,18955,19620,12801,13649,13744,13824,13838,13747,14789,15603,14676,14372
413,18311,17851,17581,19008,19659,12817,13662,14072,13867,13867,13800,14831,15996,14605,14520
414,17747,17210,16882,18417,18996,12905,13707,13935,13920,13941,13843,14897,15703,14637,14437
415,17796,17240,16931,18517,19094,12972,13769,14177,13956,13961,13909,14937,15761,14726,14478
416,18565,18163,17715,19221,19919,12963,13796,14062,13996,14019,13927,14958,15813,14687,14571
417,18705,18416,17940,19422,20248,13158,13842,14254,14018,14068,13934,15005,15816,14898,14642
418,18094,17581,17235,18845,19452,13018,13869,14019,14085,14084,13979,15038,15881,14854,14723
419,18114,17650,17270,18863,19495,13038,13929,14344,14106,14146,14065,15116,15942,14899,14625
420,18754,18430,18064,19548,20182,13111,13955,14113,14145,14183,14099,15152,15983,14871,14837
421,18726,18462,18075,19564,20215,13108,14040,14412,14202,14241,14096,15159,16002,14892,14890
422,18302,17743,17373,19041,19617,13163,14055,14265,14247,14266,14140,15209,16068,14957,14845
423,18337,17789,17399,19066,19618,13214,14092,14533,14273,14366,14210,15276,16084,15024,14883
424,18988,18728,18223,19773,20528,13238,14110,14271,14327,14354,14232,15281,16139,15117,14855
425,19204,19037,18518,20092,20865,13259,14184,14605,14371,14428,14255,15320,16179,15190,15013
426,18606,18117,17767,19391,20030,13337,14190,14405,14407,14432,14336,15379,16259,15109,15056
427,18843,18284,17805,19386,20113,13410,14236,14697,14464,14518,14372,15389,16306,15246,14936
428,19271,18956,18627,20060,20838,13447,14255,14578,14506,14535,14370,15438,16336,15308,15103
429,19303,18990,18667,20118,20914,13442,14347,14805,14552,14576,14416,15535,16341,15209,15126
430,18761,18350,17905,19548,20204,13495,14366,14742,14606,14622,14441,15520,16406,15283,15142
431,18988,18367,17958,19650,20298,13530,14432,14900,14640,14737,14520,15608,16483,15370,15270
432,19630,19292,18798,20370,21148,13569,14493,14620,14686,14703,14528,15625,16515,15323,15306
433,19968,19563,19054,20591,21348,13635,14480,14970,14712,14809,14552,15660,16534,15433,15173
434,19416,18707,18308,19893,20515,13671,14529,14777,14766,14837,14627,15705,16617,15514,15323
435,19157,18759,18354,19956,20553,13675,14614,15040,14823,14869,14647,15737,16617,15481,15392
436,19975,19586,19201,20736,21359,13765,14636,14943,14848,14906,14710,15794,16646,15480,15317
437,20021,19632,19240,20783,21377,13781,14694,15149,14907,14970,14706,15826,16691,15555,15334
438,19374,18884,18457,20131,20664,13855,14732,14972,14960,14966,14752,15872,16749,15608,15394
439,19340,18926,18503,20125,20732,13872,14777,15205,15002,15019,14788,15874,16787,15599,15402
440,20228,19913,19376,20932,21740,14000,14799,15080,15039,15087,14832,15953,16835,15773,15445
441,20307,20164,19624,21240,21891,14009,14869,15334,15099,15122,14841,15968,16862,15833,15598
442,19702,19236,18829,20471,20996,14026,14915,15162,15157,15187,14898,16022,16959,15852,15663
443,19745,19315,18872,20443,21125,14045,14952,15397,15196,15203,14956,16037,16991,15752,15609
444,20356,20065,19689,21303,21884,14121,14996,15180,15232,15232,14978,16113,17006,15823,15711
445,20568,20122,19724,21410,21987,14135,15012,15487,15279,15294,14987,16156,17081,15831,15676
446,19946,19402,19008,20664,21271,14222,15059,15423,15331,15329,15040,16163,17100,16027,15782
447,20000,19497,19025,20602,21300,14227,15131,15543,15367,15387,15128,16218,17155,16003,15829
448,20751,20467,19936,21564,22284,14284,15173,15374,15413,15429,15119,16250,17216,16108,15887
449,21086,20712,20144,21830,22544,14287,15158,15626,15442,15496,15167,16277,17214,16127,15836
450,20328,19829,19357,21007,21612,14343,15224,15516,15482,15517,15191,16320,17276,16204,15882
451,20343,19878,19420,21023,21664,14373,15238,15711,15528,15551,15231,16375,17318,16060,15868
452,20887,20679,20257,21969,22485,14427,15321,15503,15566,15590,15273,16447,17376,16252,15949
453,20953,20729,20287,21993,22682,14512,15389,15712,15607,15663,15287,16449,17395,16234,15960
454,20307,19976,19474,21181,21845,14493,15404,15748,15667,15704,15327,16496,17428,16220,16147
455,20532,20035,19555,21148,21910,14519,15465,15915,15708,15772,15425,16523,17539,16226,16051
456,21154,21012,20459,22166,22846,14582,15469,15760,15769,15784,15414,16592,17551,16401,16214
457,21472,21196,20671,22506,23065,14759,15506,16015,15770,15842,15460,16638,17611,16323,16178
458,20531,20270,19804,21544,22169,14642,15538,15842,15834,15873,15526,16653,17618,16339,16273
459,20511,20319,19832,21607,22203,14667,15596,16119,15872,15934,15553,16734,17651,16453,16213
460,21444,21111,20729,22501,23119,14741,15633,15950,15918,15982,15568,16781,17718,16400,16268
461,21556,21160,20778,22554,23181,14758,15689,16190,15965,16014,15608,16796,17774,16483,16417
462,20681,20468,19977,21806,22394,14830,15711,16063,16009,16063,15667,16820,17847,16618,16452
463,20861,20487,20014,21820,22319,14856,15725,16305,16060,16094,15683,16869,17880,16692,16342
464,21720,21495,21026,22762,23467,14899,15783,16043,16103,16165,15718,16928,17930,16606,16549
465,21817,21828,21270,23030,23744,14938,15815,16388,16133,16182,15793,16940,17953,16631,16449
466,21254,20900,20363,22218,22762,14971,15860,16155,16191,16223,15809,17022,17952,16662,16582
467,21461,20926,20407,22084,22818,15099,15972,16526,16225,16276,15855,17073,18066,16679,16675
468,21935,21810,21381,23116,23751,15111,15943,16253,16261,16317,15929,17078,18075,16779,16558
469,22004,21875,21431,23159,23829,15086,16024,16567,16324,16386,15917,17132,18122,16804,16588
470,21586,21086,20480,22278,22925,15184,16068,16454,16367,16415,15964,17172,18173,16888,16768
471,21703,21124,20536,22240,23013,15246,16106,16666,16406,16467,16045,17194,18225,16891,16841
472,22456,22217,21656,23383,24069,15280,16135,16420,16451,16528,16059,17279,18299,16991,16884
473,22565,22373,21953,23714,24418,15267,16194,16755,16490,16543,16130,17281,18291,16973,16910
474,21569,21338,20864,22608,23346,15411,16230,16667,16539,16617,16155,17356,18376,17045,16799
475,21511,21371,20897,22695,23376,15388,16247,16834,16595,16637,16161,17359,18364,17185,16834
476,22660,22393,22027,23877,24383,15453,16322,16620,16623,16675,16232,17416,18440,17035,16972
477,22816,22458,22020,23938,24453,15473,16364,16903,16679,16718,16241,17453,18454,17137,16899
478,21653,21491,20995,22810,23477,15546,16379,16859,16945,16786,16281,17502,18519,17144,16940
479,22009,21528,21042,22826,23558,15612,16457,17011,16790,16818,16314,17519,18557,17175,17012
480,22980,22616,22118,23957,24768,15619,16456,16797,16827,16856,16369,17581,18599,17425,17129
481,23030,23082,22332,24314,25000,15662,16537,17114,16861,16905,16380,17631,18655,17434,17127
482,22177,22029,21362,23190,23880,15849,16564,17028,16910,16957,16445,17669,18690,17285,17241
483,22594,22064,21417,23308,23923,15724,16601,17216,16955,16993,16499,17708,18736,17394,17337
484,23188,23118,22396,24422,24955,15780,16666,16987,17001,17020,16484,17742,18764,17430,17328
485,23136,23222,22430,24471,24988,15800,16698,17286,17044,17102,16559,17771,18805,17506,17240
486,22150,22202,21533,23489,24037,15931,16695,17194,17073,17130,16580,17825,18871,17457,17302
487,22453,22263,21545,23377,24127,15920,16751,17373,17118,17173,16623,17851,18921,17500,17506
488,23328,23425,22615,24625,25345,15995,16776,17275,17165,17212,16636,17994,18973,17677,17327
489,23868,23514,22975,24895,25640,15984,16858,17435,17217,17259,16687,17948,19007,17718,17567
490,23163,22469,21901,23801,24461,16045,16995,17394,17262,17309,16733,18000,19013,17585,17569
491,23195,22472,21948,23783,24496,16082,16944,17526,17328,17368,16784,18010,19073,17621,17476
492,23774,23401,23019,24937,25601,16144,16943,17353,17362,17392,16812,18047,19102,17841,17508
493,23826,23438,23094,25028,25611,16184,17005,17603,17399,17442,16874,18118,19167,17826,17715
494,23295,22595,22111,23991,24643,16250,17068,17511,17446,17480,16889,18147,19232,17768,17734
495,22703,22672,22129,23956,24697,16361,17109,17674,17493,17537,16912,18176,19251,17771,17685
496,24222,23881,23267,25280,26022,16348,17130,17569,17545,17582,16939,18221,19295,17833,17829
497,24248,24560,23609,25543,26345,16386,17186,17781,17582,17608,16981,18313,19362,17959,17896
498,23470,23267,22467,24408,25152,16420,17202,17638,17632,17659,17027,18300,19404,18026,17782
499,23312,23378,22530,24488,25214,16531,17248,17842,17660,17704,17096,18341,19422,17949,17980
500,24257,24473,23679,25680,26360,16567,17284,17696,17717,17733,17132,18384,19514,18175,17908
501,24311,24620,23715,25733,26387,16560,17321,17924,17766,17781,17177,18450,19538,18118,18042
502,23568,23487,22677,24680,25316,16622,17384,17824,17800,17843,17184,18531,19563,18064,17888
503,23592,23567,22693,24724,25395,16653,17402,17999,17848,17872,17209,18524,19650,18171,18115
504,24639,24988,23934,25891,26723,16733,17487,17887,17881,17922,17289,18555,19754,18273,17986
505,24975,24772,24180,26291,26958,16912,17528,18082,17924,17953,17295,18598,19739,18349,18183
506,24056,23651,23060,25100,25651,16839,17572,18030,17979,18025,17367,18672,19755,18287,18068
507,23955,23650,23112,25044,25687,16864,17612,18151,18018,18044,17377,18678,19832,18276,18083
508,24877,24688,24249,26350,26896,16956,17656,18046,18081,18086,17420,18696,19854,18459,18135
509,24957,24733,24292,26433,26950,17186,17700,18224,18106,18137,17446,18761,19897,18329,18210
510,24379,23828,23216,25227,25887,17058,17741,18142,18179,18178,17494,18825,19943,18387,18440
511,24308,23883,23263,25285,25907,17044,17786,18303,18211,18205,17544,18852,19960,18556,18245
512,25267,25106,24509,26648,27268,17075,17802,18179,18244,18239,17576,18902,20038,18636,18425
513,25640,26084,24879,26876,27569,17072,17857,18398,18248,18296,17653,18974,20082,18902,18351
514,24315,24564,23605,25695,26304,17184,17887,18361,18315,18330,17636,19007,20163,18588,18612
515,24472,24547,23649,25704,26377,17163,17937,18483,18361,18375,17702,19051,20180,18602,18407
516,25534,26095,24890,26969,27530,17199,17967,18465,18407,18428,17760,19130,20231,18806,18514
517,25585,25737,24946,26987,27568,17214,18055,18563,18423,18442,17807,19133,20243,18687,18665
518,24818,24782,23814,25946,26516,17278,18073,18553,18478,18486,17865,19195,20318,18729,18709
519,25010,24885,23822,25961,26556,17328,18092,18688,18495,18526,17916,19263,20399,18955,18841
520,25989,26321,25172,27219,27963,17323,18135,18629,18566,18586,17931,19290,20471,18975,18874
521,26220,26167,25444,27626,28306,17333,18182,18771,18586,18602,17960,19338,20447,18875,18713
522,24870,24837,24184,26423,26999,17387,18190,18711,18629,18641,18028,19384,20494,18991,18955
523,25374,24881,24243,26514,27010,17451,18258,18863,18695,18701,18049,19427,20603,19190,18843
524,26255,26165,25522,27756,28277,17466,18280,18779,18695,18739,18089,19506,20667,19098,18860
525,26250,26092,25564,27783,28322,17489,18338,18960,18743,18786,18172,19508,20653,19026,18975
526,25572,24985,24388,26694,27177,17534,18368,18877,18796,18816,18235,19564,20707,19271,18975
527,25385,25131,24426,26720,27221,17662,18398,19042,18835,18850,18238,19663,20788,19156,19178
528,26578,26602,25782,28077,28692,17674,18456,18900,18860,18894,18270,19692,20820,19327,19274
529,26909,27383,26143,28340,29034,17612,18487,19146,18892,18930,18331,19703,20855,19376,19152
530,25577,25730,24803,27099,27669,17670,18529,19049,18917,19014,18410,19766,20916,19295,19122
531,25786,25778,24825,27135,27705,17700,18609,19253,18987,19015,18415,19838,20973,19504,19201
532,26824,26945,26202,28418,29011,17737,18590,19118,18998,19057,18466,19886,21004,19514,19224
533,26905,27186,26272,28463,29028,17759,18658,19355,19059,19086,18521,19925,21062,19449,19386
534,25772,25996,24980,27325,27891,17859,18688,19324,19087,19149,18573,20000,21112,19661,19516
535,25912,25963,25027,27439,27926,17920,18709,19435,19132,19173,18582,20048,21143,19549,19380
536,27242,27830,26501,28694,29394,17887,18769,19244,19154,19230,18635,20071,21186,19585,19396
537,27520,27268,26697,29113,29859,17902,18803,19517,19208,19249,18669,20146,21275,19634,19519
538,26485,25882,25414,27910,28441,17961,18842,19359,19249,19294,18717,20158,21297,19656,19669
539,26341,25947,25492,27944,28449,18019,18894,19592,19247,19333,18811,20222,21359,19741,19737
540,27511,27163,26759,29159,29782,18051,18920,19462,19319,19373,18856,20271,21438,19780,19796
541,27546,27145,26795,29158,29853,18059,18987,19718,19352,19413,18862,20305,21429,20037,19737
542,26852,26069,25608,28061,28646,18307,18999,19572,19395,19444,18905,20335,21477,19943,19662
543,26479,26127,25660,28083,28679,18182,19019,19794,19442,19495,18984,20404,21534,19901,19685
544,27923,27641,27005,29542,30254,18204,19082,19687,19471,19543,18995,20432,21618,19976,19787
545,28180,27878,27327,29754,30578,18235,19097,19875,19513,19555,19074,20494,21664,20010,19812
546,27153,26462,26014,28544,29093,18304,19172,19772,19565,19619,19099,20539,21667,20301,20083
547,27451,26496,26081,28825,29222,18274,19348,19985,19597,19706,19140,20604,21711,20124,19894
548,28500,27936,27616,30052,30639,18325,19410,19757,19744,19873,19384,20650,21905,20264,20138
549,28353,27907,27881,30289,30768,18572,19578,20250,19755,19793,19469,20974,21964,20888,20147
550,27692,26746,26262,28854,29493,18434,19347,19929,20023,20108,19383,20869,21969,20391,20588
551,27362,27044,26630,29165,29568,18736,19425,20583,20140,19980,19689,21090,22387,20986,20621
552,28930,28784,28041,30345,31297,18861,19590,20345,19990,20110,19744,21270,22541,21036,20815
553,29226,28944,28368,30912,31356,18787,19812,20733,19815,19965,20009,21254,22638,21116,20692
554,27916,27490,26949,29906,30047,18754,19739,20338,20176,20229,19514,21313,22370,20980,20857
555,27941,27223,26715,29336,29874,18578,19547,20414,19917,20012,19534,21026,22147,20689,20425
556,28876,28522,28045,30636,31365,18763,19648,20287,19992,20039,19551,21070,22194,20784,20409
557,28888,28567,28181,30686,31396,18703,19633,20463,20025,20071,19643,21117,22347,20702,20532
558,28096,27389,26902,29567,30045,18764,19611,20358,20076,20130,19741,21109,22311,20709,20528
559,28182,27388,26923,29570,30089,18800,19744,20543,20077,20180,19711,21180,22345,20664,20564
560,29283,28999,28380,30924,31791,18849,19740,20334,20125,20184,19753,21254,22402,20919,20642
561,29613,29294,28732,31233,32083,18898,19789,20631,20121,20235,19799,21285,22443,20872,20650
562,28426,27745,27241,29976,30499,18868,19775,20508,20138,20218,19817,21315,22488,20961,20707
563,28586,27848,27329,30019,30514,18885,19812,20693,20180,20288,19831,21329,22490,20820,20673
564,29564,29131,28716,31307,32078,19095,19906,20431,20286,20359,19902,21435,22532,21199,20935
565,29532,29100,28764,31408,32115,18976,19899,20523,20278,20345,19930,21415,22644,20935,20880
566,28633,27965,27471,30206,30728,19032,19912,20670,20314,20384,19989,21465,22638,20964,20960
567,28761,28002,27526,30314,30779,19061,19991,20832,20364,20420,20013,21549,22657,20976,20822
568,29906,29621,28970,31587,32489,19179,20016,20710,20405,20469,20039,21585,22711,21058,20852
569,30240,29903,29282,31917,32867,19136,20040,20953,20403,20484,20122,21569,22765,21115,20870
570,29181,28430,27906,30674,31144,19285,20069,20849,20508,20531,20117,21653,22804,21206,21009
571,29317,28472,27995,30776,31278,19227,20207,21006,20495,20576,20201,21711,22867,21259,21045
572,30277,29756,29488,32062,32860,19312,20229,20822,20580,20671,20273,21808,22978,21237,21050
573,30344,29890,29501,32097,32970,19371,20317,21092,20651,20662,20311,21787,22998,21458,21110
574,29512,28637,28203,30986,31436,19443,20289,21063,20689,20745,20357,21871,23062,21354,21158
575,29535,28766,28225,31080,31519,19529,20337,21164,20702,20794,20407,21931,23063,21519,21221
576,30741,30335,29664,32410,33305,19487,20389,21009,20704,20832,20458,21967,23114,21538,21339
577,31010,30658,29995,32677,33662,19546,20418,21252,20820,20826,20492,22052,23227,21518,21469
578,29928,29097,28604,31465,32008,19526,20447,21197,20819,20893,20549,22082,23266,21771,21410
579,30063,29258,28654,31578,32005,19556,20770,21418,20834,21062,20624,22097,23336,21585,21440
580,30874,30390,30083,32825,33596,19673,20470,21152,20897,20985,20644,22155,23474,21731,21480
581,31135,30587,30136,32851,33794,19749,20561,21568,20953,21013,20689,22245,23400,21866,21503
582,30093,29414,28800,31878,32309,19742,20700,21368,21037,21047,20814,22271,23465,21883,21480
583,30158,29590,28861,31804,32313,19675,20813,21609,21053,21087,20782,22366,23484,21768,21834
584,31441,30999,30367,33112,34017,19861,20719,21418,21050,21139,20904,22399,23560,21905,21956
585,31749,31454,30700,33563,34461,19858,20743,21744,21037,21197,21002,22453,23685,22059,21733
586,30588,29950,29250,32237,32730,19808,20751,21516,21102,21252,20945,22476,23680,22090,21974
587,30652,29807,29263,32239,32681,19949,20836,21802,21171,21197,20976,22544,23651,22036,21755
588,31563,31099,30722,33551,34432,19946,20848,21540,21174,21303,20990,22553,23800,22103,21896
589,31678,31100,30816,33630,34414,19935,20863,21891,21241,21340,21056,22603,23763,22183,21832
590,30940,30030,29453,32759,33229,19994,21083,21696,21560,21596,21046,23083,23839,22107,21973
591,31056,30336,29791,32809,33252,20296,21252,22188,21591,21635,21419,23020,24171,22328,22279
592,32370,32200,31400,34137,35115,20334,21249,21932,21504,21687,21540,23014,24310,22563,22537
593,32831,32220,31571,34569,35594,20224,21327,22177,21691,21761,21314,23242,24260,22671,22325
594,31351,30768,30270,33266,33818,20446,21308,22114,21688,21788,21607,23154,24406,22705,22626
