n,Insertion Sort Fast,Pseudo AVX Sort,Pseudo AVX Sort (Binary Search),Heap
146,6.773231,9.020828,6.710656,5.750353
147,6.857330,9.134339,6.776121,5.780469
148,6.935898,9.254494,6.824361,5.826708
149,7.016412,9.369463,6.867062,5.875434
150,7.102663,9.492001,6.923023,5.940251
151,7.186636,9.613527,6.983921,5.977106
152,7.267782,9.734860,7.059295,6.038525
153,7.349338,9.996528,7.131036,6.065644
154,7.429961,10.119621,7.193061,6.133535
155,7.517007,10.245517,7.266927,6.166644
156,7.608119,10.373983,7.349980,6.218057
157,7.689881,10.495438,7.385056,6.266285
158,7.774870,10.613346,7.455791,6.332868
159,7.862664,10.748522,7.526773,6.373917
160,7.952334,10.865729,7.578789,6.437583
161,8.034355,11.003753,7.639608,6.459179
162,8.127556,11.133534,7.676474,6.520730
163,8.217656,11.260566,7.735811,6.550146
164,8.307037,11.393584,7.800003,6.596515
165,8.394638,11.521562,7.863228,6.643327
166,8.483896,11.653881,7.914959,6.712531
167,8.585169,11.787470,7.978797,6.750173
168,8.679111,11.921269,8.031014,6.814795
169,8.769252,12.002679,8.118004,6.841354
170,8.858677,12.138228,8.167560,6.911364
171,8.955698,12.267463,8.216025,6.942624
172,9.041340,12.401813,8.256023,6.992569
173,9.141939,12.538341,8.347164,7.043733
174,9.232409,12.671462,8.404739,7.118158
175,9.334116,12.807637,8.453054,7.157590
176,9.406328,12.939413,8.500340,7.224583
177,9.508862,13.074768,8.547360,7.243938
178,9.593731,13.208140,8.618750,7.317788
179,9.696011,13.346352,8.684682,7.347757
180,9.790654,13.488560,8.744841,7.401861
181,9.886449,13.626780,8.843560,7.453975
182,9.990332,13.770281,8.915134,7.530714
183,10.089174,13.906828,8.975644,7.569623
184,10.191031,14.048693,9.026017,7.649162
185,10.277759,14.588094,9.194558,7.666445
186,10.382206,14.728156,9.268558,7.741681
187,10.482432,14.880020,9.326698,7.777706
188,10.582302,15.031240,9.390106,7.834317
189,10.711435,15.182129,9.451530,7.949166
190,10.788645,15.323591,9.521246,7.963699
191,10.891125,15.469116,9.586997,8.009692
192,10.986134,15.620247,9.657280,8.077314
193,11.093747,15.775012,9.734075,8.093628
194,11.197264,15.922916,9.776887,8.162636
195,11.298665,16.077883,9.852287,8.189162
196,11.404817,16.231308,9.909491,8.237820
197,11.503053,16.389036,9.988264,8.284712
198,11.611981,16.535294,10.048012,8.353198
199,11.718359,16.692708,10.104988,8.387442
200,11.819127,16.857046,10.159618,8.459991
201,11.927403,16.652058,10.181805,8.483966
202,12.044941,16.797510,10.252493,8.554378
203,12.143253,16.950887,10.312248,8.585663
204,12.250887,17.112686,10.370533,8.637919
205,12.374275,17.266361,10.432660,8.690963
206,12.482368,17.419040,10.493521,8.761203
207,12.593953,17.582939,10.547038,8.803317
208,12.703323,17.740004,10.603812,8.883934
209,12.808177,17.899885,10.667790,8.901363
210,12.917498,18.059424,10.716716,8.974547
211,13.034282,18.221222,10.773629,9.006847
212,13.141429,18.380155,10.835644,9.058409
213,13.255098,18.536200,10.905636,9.109434
214,13.365227,18.699776,10.979923,9.189743
215,13.484153,18.862520,11.042585,9.228687
216,13.596579,19.037841,11.091859,9.307803
217,13.698817,19.026324,11.150179,9.331522
218,13.822679,19.192587,11.230281,9.409531
219,13.932196,19.357834,11.273564,9.451639
220,14.049093,19.532666,11.332014,9.508246
221,14.165358,19.693825,11.383511,9.560558
222,14.288821,19.854198,11.439080,9.640436
223,14.415020,20.029418,11.505650,9.684132
224,14.531666,20.196867,11.566242,9.761688
225,14.651745,20.375861,11.645907,9.783095
226,14.761076,20.538596,11.724316,9.853540
227,14.886179,20.710812,11.781203,9.882468
228,14.999362,20.889472,11.862903,9.938464
229,15.141920,21.063841,11.927797,9.995203
230,15.241627,21.230950,11.992823,10.062779
231,15.367977,21.410856,12.065028,10.103543
232,15.488347,21.575394,12.125859,10.184294
233,15.605782,21.739590,12.183152,10.214057
234,15.721536,21.921546,12.269391,10.288214
235,15.849386,22.094014,12.327932,10.331551
236,15.974623,22.282960,12.395817,10.394358
237,16.109173,22.458343,12.464252,10.450691
238,16.241753,22.652328,12.508744,10.538705
239,16.367952,22.823823,12.574735,10.581750
240,16.485201,23.002290,12.640632,10.664236
241,16.617271,23.193491,12.739732,10.689061
242,16.759837,23.376085,12.798355,10.763618
243,16.856826,23.550147,12.872197,10.803502
244,16.994309,23.742836,12.937738,10.856526
245,17.120876,23.919004,12.975571,10.913625
246,17.244312,24.113766,13.041709,10.990304
247,17.369916,24.295748,13.094941,11.033338
248,17.500937,24.478813,13.203038,11.112146
249,17.635212,24.670541,13.264176,11.147822
250,17.768949,24.864677,13.326899,11.224065
251,17.899531,25.056306,13.399797,11.270879
252,18.034961,25.248777,13.440340,11.336207
253,18.156784,25.447804,13.530202,11.400129
254,18.301193,25.630292,13.599906,11.471877
255,18.427824,25.828457,13.669209,11.526559
256,18.559236,26.010475,13.727975,11.595397
