n,Find SIMD (O2),Insert Cache (O3)
3,400,169
4,545,250
5,750,329
6,862,428
7,1031,519
8,1271,662
9,1384,751
10,1518,879
11,1687,1026
12,1852,1106
13,2024,1340
14,2262,1523
15,2398,1738
16,2638,1937
17,2621,2191
18,2743,2337
19,2952,2518
20,3058,2648
21,3282,2831
22,3396,3006
23,3633,3211
24,3777,3389
25,3847,3646
26,3966,3775
27,4128,3672
28,4288,3872
29,4457,4065
30,4630,4272
31,4807,4480
32,5017,4673
33,5349,4814
34,5435,4967
35,5608,5407
36,5796,5535
37,5964,5732
38,6158,5916
39,6360,6177
40,6573,6346
41,6755,6560
42,6899,6716
43,7081,6706
44,7268,6926
45,7500,7142
46,7658,7380
47,7865,7563
48,8099,7616
49,8689,7830
50,8806,8087
51,8947,8391
52,9199,8704
53,9327,8944
54,9604,8900
55,9806,9129
56,9976,9313
57,10210,9591
58,10431,9758
59,10555,9937
60,10801,10173
61,10939,10383
62,11147,10601
63,11407,10805
64,11633,10897
65,12048,11150
66,12210,11386
67,12407,11515
68,12607,11693
69,12871,11908
70,13013,12055
71,13286,12289
72,13527,12513
73,14108,12810
74,14272,13026
75,14528,13724
76,14722,13480
77,15099,13652
78,15344,14084
79,15546,14186
80,15846,14428
81,16459,14675
82,16675,14823
83,16783,14897
84,17132,15313
85,17271,15475
86,17524,15582
87,17778,15915
88,18062,16145
89,17914,16336
90,18141,16629
91,18281,18014
92,18492,17181
93,18763,17418
94,18850,17635
95,19224,17905
96,19339,17903
97,20194,18189
98,20318,18579
99,20716,18626
100,20980,19058
