n,Find SIMD (O2),Insert Cache (O3)
3,392,171
4,545,250
5,696,330
6,844,428
7,1011,520
8,1245,664
9,1384,748
10,1520,876
11,1688,967
12,1906,1100
13,2025,1340
14,2202,1522
15,2454,1737
16,2638,1938
17,2617,2143
18,2742,2338
19,2900,2518
20,3062,2648
21,3224,2830
22,3405,3008
23,3576,3212
24,3776,3389
25,3846,3635
26,3970,3776
27,4138,3669
28,4289,3925
29,4458,4067
30,4627,4518
31,4811,4743
32,5067,4612
33,5295,4870
34,5429,5026
35,5611,5406
36,5783,5538
37,5962,5733
38,6166,5919
39,6346,6124
40,6571,6314
41,6762,6581
42,6894,6716
43,7079,6714
44,7274,6987
45,7451,7144
46,7720,7342
47,7873,7546
48,8096,7678
49,8679,7842
50,8760,8090
51,8950,8436
52,9183,8667
53,9334,8903
54,9594,9127
55,9752,9414
56,10028,9313
57,10246,9536
58,10368,9825
59,10551,9942
60,10746,10116
61,10996,10350
62,11203,10542
63,11347,10855
64,11580,10966
65,12108,11107
66,12269,11327
67,12459,11452
68,12658,11632
69,12871,11852
70,13060,12048
71,13293,12293
72,13512,12510
73,14166,12739
74,14327,13016
75,14462,13731
76,14758,13498
77,14950,13642
78,15179,13871
79,15385,14143
80,15585,14157
81,16310,14393
82,16469,14642
83,16615,14752
84,16879,15060
85,17045,15254
86,17345,15411
87,17582,15678
88,17832,15874
89,17602,16147
90,17823,16371
91,18019,17770
92,18242,16890
93,18397,17228
94,18672,17407
95,18900,17660
96,19142,17743
97,19965,18030
98,20146,18328
99,20373,18443
100,20541,18732
