n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
53,9828,9377,9173,9925,9574,8530,8665,8662,8575,8994,10652,10783,10405,10643,10814,11368,12183,13438,11881,11812
54,10023,9563,9453,10087,9739,8703,9021,8890,8916,9239,10802,10856,10650,10982,11193,11481,12491,13720,12040,12097
55,10209,9808,9602,10220,9938,8979,9238,9168,9111,9653,11131,11207,11143,11203,11425,12022,12660,13937,12257,12237
56,10526,9978,9810,10438,10184,9226,9479,9465,9485,9869,11377,11436,11148,11565,11707,11929,12896,14162,12510,12426
57,10818,10257,10170,10576,10566,9561,9760,9819,9648,10209,11714,11725,11715,11730,11936,12319,13109,14476,12794,12700
58,10949,10361,10194,10797,10732,9724,10016,10102,9925,10567,11987,12137,11719,12077,12387,12536,13348,14842,12998,12913
59,11161,10581,10471,11057,10875,10070,10382,10270,10268,10829,12228,12292,12179,12441,12606,12791,13708,15163,13223,13278
60,11341,10917,10597,11219,11278,10435,10621,10619,10572,11196,12740,12604,12590,12697,12929,13233,13837,15403,13595,13476
61,11661,11095,10932,11512,11316,10534,11088,10925,10897,11312,12841,12962,12860,13171,13398,13348,14286,15814,13836,13808
62,11786,11125,10995,11573,11517,10799,11223,11271,11050,11658,13269,13266,12958,13386,13547,13541,14391,15977,13903,13820
63,12011,11342,11154,11726,11744,11148,11580,11558,11366,11995,13484,13555,13426,13693,13928,13793,14570,16251,14178,14143
64,12173,11616,11357,11941,11938,11442,11835,11844,11746,12575,13691,13787,13422,13913,14142,14021,14834,16526,14380,14432
65,12752,12036,11859,12504,12330,11624,12166,12212,12114,12930,13892,13884,13778,14103,14306,14446,15211,16870,14730,14988
66,12882,12124,12084,12733,12527,11932,12465,12503,12435,13234,14128,14255,13973,14291,14563,14877,15639,17216,15170,15565
67,13097,12377,12211,12880,12675,12195,12843,12843,12753,13557,14304,14509,14332,14552,14824,15206,15981,17660,15485,15979
68,13246,12506,12498,13107,12874,12476,13116,13105,13026,13921,14562,14732,14341,14729,15017,15487,16350,18012,15900,16317
