n,Find SIMD (O2),Insert Cache (O3)
3,40,17
4,54,25
5,70,34
6,86,42
7,102,52
8,126,64
9,137,74
10,150,88
11,166,97
12,183,110
13,198,135
14,216,154
15,235,175
16,258,195
17,256,216
18,268,236
19,282,253
20,299,266
21,315,286
22,333,303
23,349,324
24,366,342
25,374,361
26,386,380
27,404,372
28,419,392
29,432,410
30,448,432
31,467,450
32,481,465
33,513,485
34,525,500
35,540,543
36,558,557
37,572,576
38,591,595
39,611,615
40,632,639
41,643,655
42,665,678
43,682,682
44,689,698
45,714,722
46,731,758
47,748,760
48,765,769
49,816,789
50,833,814
51,846,843
52,870,874
53,886,891
54,910,901
55,920,917
56,942,934
57,963,957
58,979,980
59,994,996
60,1027,1035
61,1046,1068
62,1047,1066
63,1070,1088
64,1080,1099
65,1186,1119
66,1141,1139
67,1159,1147
68,1177,1166
69,1203,1190
70,1273,1220
71,1230,1234
72,1246,1265
73,1285,1293
74,1299,1300
75,1318,1455
76,1334,1351
77,1351,1368
78,1376,1396
79,1390,1416
80,1414,1423
81,1512,1445
82,1528,1472
83,1540,1481
84,1564,1506
85,1576,1539
86,1599,1545
87,1626,1568
88,1642,1594
89,1636,1621
90,1645,1647
91,1666,1781
92,1685,1699
93,1700,1724
94,1718,1749
95,1738,1770
96,1761,1779
97,1837,1805
98,1854,1831
99,1885,1857
100,1900,1876
