n,Find,Find Cache,Find Pair,Find Branchless Cache,Find SIMD
3,2018,1983,1974,1435,3766
4,3177,3019,3047,2037,4979
5,4526,4198,4165,2690,6019
6,5977,5396,5375,3470,7037
