COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 48
SEED 1753074900

Init: 12173

## MERGING 3 LISTS ##
Baseline (copy+sort) 596
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Heap Cache (O1)                          | true    |      ? |       311,311,311 |             0.0000 |
Heap (Oz)                                | true    |      ? |       295,295,295 |             0.0000 |
Find (Oz)                                | true    |      ? |       582,582,582 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       303,303,303 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       303,303,303 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |       195,195,195 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       250,250,250 |             0.0000 |
Heap (O3)                                | true    |      ? |       276,276,276 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       304,304,304 |             0.0000 |
Find (O1)                                | true    |      ? |       544,544,544 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       245,245,245 |             0.0000 |
Heap (Os)                                | true    |      ? |       294,294,294 |             0.0000 |

## MERGING 5 LISTS ##
Baseline (copy+sort) 874
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap (O1)                                | true    |      ? |       402,402,402 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |       289,289,289 |             0.0000 |
State Machine Cache (O0)                 | true    |      ? |       379,379,379 |             0.0000 |
Insert (O0)                              | true    |      ? |       622,622,622 |             0.0000 |
Find (O2)                                | true    |      ? |       691,691,691 |             0.0000 |
Insert (O2)                              | true    |      ? |       323,323,323 |             0.0000 |
Heap (O0)                                | true    |      ? |       890,890,890 |             0.0000 |
Insert (Os)                              | true    |      ? |       313,313,313 |             0.0000 |
State Machine (Oz)                       | true    |      ? |       312,312,312 |             0.0000 |
Find (Os)                                | true    |      ? |       745,745,745 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |    1994,1994,1994 |             0.0000 |
Heap Cache (O0)                          | true    |      ? |       930,930,930 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       325,325,325 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       447,447,447 |             0.0000 |
Find (O3)                                | true    |      ? |       818,818,818 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |       677,677,677 |             0.0000 |
State Machine (O0)                       | true    |      ? |       386,386,386 |             0.0000 |
Find (O0)                                | true    |      ? |    1227,1227,1227 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |       287,287,287 |             0.0000 |
State Machine (Os)                       | true    |      ? |       311,311,311 |             0.0000 |
State Machine (O2)                       | true    |      ? |       322,322,322 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |       263,263,263 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       430,430,430 |             0.0000 |
State Machine (O1)                       | true    |      ? |       331,331,331 |             0.0000 |
Insert (O1)                              | true    |      ? |       354,354,354 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       429,429,429 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       523,523,523 |             0.0000 |
State Machine (O3)                       | true    |      ? |       328,328,328 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       513,513,513 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       381,381,381 |             0.0000 |
Heap (O2)                                | true    |      ? |       370,370,370 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       324,324,324 |             0.0000 |
Insert (O3)                              | true    |      ? |       344,344,344 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       315,315,315 |             0.0000 |
Insert (Oz)                              | true    |      ? |       313,313,313 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |       295,295,295 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       416,416,416 |             0.0000 |
Heap (Oz)                                | true    |      ? |       405,405,405 |             0.0000 |
Find (Oz)                                | true    |      ? |       736,736,736 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       404,404,404 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       395,395,395 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |       294,294,294 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       332,332,332 |             0.0000 |
Heap (O3)                                | true    |      ? |       372,372,372 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       393,393,393 |             0.0000 |
Find (O1)                                | true    |      ? |       697,697,697 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       325,325,325 |             0.0000 |
Heap (Os)                                | true    |      ? |       397,397,397 |             0.0000 |

## MERGING 6 LISTS ##
Baseline (copy+sort) 1345
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap (O1)                                | true    |      ? |       588,588,588 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |       541,541,541 |             0.0000 |
State Machine Cache (O0)                 | true    |      ? |       844,844,844 |             0.0000 |
Insert (O0)                              | true    |      ? |       834,834,834 |             0.0000 |
Find (O2)                                | true    |      ? |       838,838,838 |             0.0000 |
Insert (O2)                              | true    |      ? |       425,425,425 |             0.0000 |
Heap (O0)                                | true    |      ? |    1248,1248,1248 |             0.0000 |
Insert (Os)                              | true    |      ? |       395,395,395 |             0.0000 |
State Machine (Oz)                       | true    |      ? |       561,561,561 |             0.0000 |
Find (Os)                                | true    |      ? |       901,901,901 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |    2487,2487,2487 |             0.0000 |
Heap Cache (O0)                          | true    |      ? |    1226,1226,1226 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       400,400,400 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       530,530,530 |             0.0000 |
Find (O3)                                | true    |      ? |       973,973,973 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |       843,843,843 |             0.0000 |
State Machine (O0)                       | true    |      ? |       695,695,695 |             0.0000 |
Find (O0)                                | true    |      ? |    1453,1453,1453 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |       486,486,486 |             0.0000 |
State Machine (Os)                       | true    |      ? |       562,562,562 |             0.0000 |
State Machine (O2)                       | true    |      ? |       575,575,575 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |       466,466,466 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       516,516,516 |             0.0000 |
State Machine (O1)                       | true    |      ? |       638,638,638 |             0.0000 |
Insert (O1)                              | true    |      ? |       442,442,442 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       516,516,516 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       627,627,627 |             0.0000 |
State Machine (O3)                       | true    |      ? |       576,576,576 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       613,613,613 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       520,520,520 |             0.0000 |
Heap (O2)                                | true    |      ? |       522,522,522 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       405,405,405 |             0.0000 |
Insert (O3)                              | true    |      ? |       460,460,460 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       400,400,400 |             0.0000 |
Insert (Oz)                              | true    |      ? |       391,391,391 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |       511,511,511 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       572,572,572 |             0.0000 |
Heap (Oz)                                | true    |      ? |       569,569,569 |             0.0000 |
Find (Oz)                                | true    |      ? |       941,941,941 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       539,539,539 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       530,530,530 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |       509,509,509 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       434,434,434 |             0.0000 |
Heap (O3)                                | true    |      ? |       533,533,533 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       530,530,530 |             0.0000 |
Find (O1)                                | true    |      ? |       848,848,848 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       397,397,397 |             0.0000 |
Heap (Os)                                | true    |      ? |       551,551,551 |             0.0000 |

## MERGING 7 LISTS ##
Baseline (copy+sort) 1319
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap (O1)                                | true    |      ? |       773,773,773 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
State Machine Cache (O0)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert (O0)                              | true    |      ? |    1030,1030,1030 |             0.0000 |
Find (O2)                                | true    |      ? |    1008,1008,1008 |             0.0000 |
Insert (O2)                              | true    |      ? |       552,552,552 |             0.0000 |
Heap (O0)                                | true    |      ? |    1543,1543,1543 |             0.0000 |
Insert (Os)                              | true    |      ? |       488,488,488 |             0.0000 |
State Machine (Oz)                       | false   |      ? |                 ? |                  ? | Unsupported
Find (Os)                                | true    |      ? |    1098,1098,1098 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |    3134,3134,3134 |             0.0000 |
Heap Cache (O0)                          | true    |      ? |    1564,1564,1564 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       487,487,487 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       728,728,728 |             0.0000 |
Find (O3)                                | true    |      ? |    1142,1142,1142 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |    1052,1052,1052 |             0.0000 |
State Machine (O0)                       | false   |      ? |                 ? |                  ? | Unsupported
Find (O0)                                | true    |      ? |    1774,1774,1774 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
State Machine (Os)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine (O2)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |       708,708,708 |             0.0000 |
State Machine (O1)                       | false   |      ? |                 ? |                  ? | Unsupported
Insert (O1)                              | true    |      ? |       574,574,574 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       709,709,709 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       847,847,847 |             0.0000 |
State Machine (O3)                       | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (Os)                     | true    |      ? |       824,824,824 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       684,684,684 |             0.0000 |
Heap (O2)                                | true    |      ? |       706,706,706 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       491,491,491 |             0.0000 |
Insert (O3)                              | true    |      ? |       562,562,562 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       484,484,484 |             0.0000 |
Insert (Oz)                              | true    |      ? |       475,475,475 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O1)                          | true    |      ? |       743,743,743 |             0.0000 |
Heap (Oz)                                | true    |      ? |       752,752,752 |             0.0000 |
Find (Oz)                                | true    |      ? |    1069,1069,1069 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       710,710,710 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       696,696,696 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |       525,525,525 |             0.0000 |
Heap (O3)                                | true    |      ? |       697,697,697 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       689,689,689 |             0.0000 |
Find (O1)                                | true    |      ? |    1009,1009,1009 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       481,481,481 |             0.0000 |
Heap (Os)                                | true    |      ? |       730,730,730 |             0.0000 |

## MERGING 8 LISTS ##
Baseline (copy+sort) 1726
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Heap (O1)                                | true    |      ? |       894,894,894 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
State Machine Cache (O0)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert (O0)                              | true    |      ? |    1261,1261,1261 |             0.0000 |
Find (O2)                                | true    |      ? |    1283,1283,1283 |             0.0000 |
Insert (O2)                              | true    |      ? |       657,657,657 |             0.0000 |
Heap (O0)                                | true    |      ? |    1781,1781,1781 |             0.0000 |
Insert (Os)                              | true    |      ? |       566,566,566 |             0.0000 |
State Machine (Oz)                       | false   |      ? |                 ? |                  ? | Unsupported
Find (Os)                                | true    |      ? |    1313,1313,1313 |             0.0000 |
Tournament Tree (O0)                     | true    |      ? |    3683,3683,3683 |             0.0000 |
Heap Cache (O0)                          | true    |      ? |    1859,1859,1859 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       586,586,586 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       860,860,860 |             0.0000 |
Find (O3)                                | true    |      ? |    1323,1323,1323 |             0.0000 |
Insert Cache (O0)                        | true    |      ? |    1297,1297,1297 |             0.0000 |
State Machine (O0)                       | false   |      ? |                 ? |                  ? | Unsupported
Find (O0)                                | true    |      ? |    1995,1995,1995 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
State Machine (Os)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine (O2)                       | false   |      ? |                 ? |                  ? | Unsupported
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |       824,824,824 |             0.0000 |
State Machine (O1)                       | false   |      ? |                 ? |                  ? | Unsupported
Insert (O1)                              | true    |      ? |       677,677,677 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       823,823,823 |             0.0000 |
