n,Find (Cache),Find (Cache SIMD)
3,22,40
4,36,57
5,52,72
6,67,87
7,85,101
8,105,117
9,130,137
10,154,155
11,176,168
12,199,186
13,225,202
14,252,220
15,280,236
16,310,250
17,458,273
18,493,291
19,537,304
20,566,321
21,607,341
22,647,358
23,691,372
24,725,389
25,991,419
26,1040,438
27,1102,451
28,1144,468
29,1201,487
30,1243,507
