n,Find SIMD (O2),Insert Cache (O3)
3,392,168
4,545,250
5,696,330
6,843,431
7,1011,519
8,1247,658
9,1384,752
10,1518,884
11,1686,971
12,1852,1097
13,2025,1401
14,2203,1522
15,2401,1737
16,2638,1992
17,2616,2145
18,2742,2339
19,2900,2517
20,3058,2647
21,3225,2832
22,3396,3006
23,3577,3209
24,3776,3445
25,3845,3584
26,4019,3774
27,4129,3670
28,4290,3868
29,4456,4068
30,4628,4327
31,4808,4472
32,5012,4617
33,5297,4814
34,5488,4963
35,5656,5407
36,5838,5537
37,5978,5733
38,6163,5918
39,6393,6123
40,6616,6313
41,6817,6507
42,6906,6718
43,7068,6710
44,7264,6979
45,7455,7169
46,7719,7342
47,7917,7545
48,8097,7613
49,8617,7883
50,8800,8126
51,8946,8381
52,9178,8678
53,9322,8874
54,9587,8897
55,9752,9121
56,10028,9312
57,10210,9585
58,10424,9753
59,10568,9940
60,10740,10174
61,10994,10336
62,11202,10543
63,11355,10853
64,11567,10955
65,12045,11173
66,12212,11388
67,12461,11465
68,12659,11680
69,12859,11848
70,13039,12051
71,13309,12291
72,13573,12505
73,14189,12740
74,14325,13021
75,14456,13718
76,14668,13475
77,14950,13642
78,15170,13923
79,15360,14136
80,15629,14157
81,16312,14440
82,16409,14684
83,16668,14746
84,16825,15060
85,17070,15306
86,17339,15368
87,17581,15664
88,17857,15921
89,17651,16098
90,17780,16420
91,18036,17765
92,18236,16957
93,18443,17173
94,18669,17399
95,18890,17604
96,19130,17734
97,19930,18023
98,20154,18331
99,20437,18398
100,20582,18718
