n,Find SIMD (O2)
3,599
4,820
5,1048
6,1363
7,1565
8,1942
9,2097
10,2302
11,2552
12,2807
13,3078
14,3355
15,3656
16,4075
17,4002
18,4190
19,4430
20,4674
21,4937
22,5261
23,5482
24,5805
25,5962
26,6090
27,6333
28,6585
29,6889
30,7106
31,7396
32,7710
33,8048
34,8266
35,8537
36,8801
37,9082
38,9378
39,9718
40,10053
41,10491
42,10651
43,10911
44,11272
45,11529
46,11943
47,12232
48,12591
49,13226
50,13511
51,13773
52,14067
53,14322
54,14695
55,15011
56,15302
57,15645
58,15945
59,16241
60,16504
61,16844
62,17171
63,17473
64,17793
65,18755
66,18963
67,19281
68,19541
69,19908
70,20250
71,20594
72,20886
73,21807
74,22075
75,22386
76,22701
77,22994
78,23389
79,23709
80,24115
81,25109
82,25347
83,25664
84,25993
85,26342
86,26735
87,27171
88,27522
89,27284
90,27519
91,27839
92,28159
93,28492
94,28850
95,29236
96,29624
97,31046
98,31402
99,31690
100,32023
