n,Bubble Sort Fast,Insertion Sort Fast,Heap,State Machine (Compiled),State Machine (Lookup Table),State Machine (Lookup Table Alternative),State Machine (Lookup Table Ascending),State Machine (Binary Search),State Machine (Binary Search Fast)
3,0.490168,0.456575,0.475323,0.444169,0.573143,0.532638,0.540533,0.688839,0.732287
4,0.778319,0.674535,0.796944,0.675924,0.764724,0.755496,0.770287,1.089330,1.034539
5,1.102980,0.920221,1.084339,0.981499,1.176132,1.122278,1.140761,1.585022,1.743148
6,1.453681,1.164532,1.501522,1.472136,1.501863,1.461708,1.465377,2.128213,1.908000
7,1.864625,1.425239,2.070364,0.000007,2.027286,2.003794,2.048486,2.862918,2.768090
8,2.344748,1.735881,2.347629,0.000005,3.556746,3.558885,3.595359,4.750087,5.805904
