n,Find,Find Cache,Find Pair,Find Multiway,Find Multiway Cache,Find Multiway Var,Find Branchless Cache,Find Branchless Cache Unrolled
3,234,219,263,161,193,156,133,138
4,360,358,430,271,311,270,185,194
5,608,517,451,407,441,420,251,269
6,864,664,619,585,580,549,317,433
7,1060,844,799,802,769,761,403,613
8,1312,1042,1004,1187,1114,1157,844,765
9,2093,1288,1427,1571,1461,1455,1012,988
10,2458,1519,1672,2128,1862,1714,1176,1119
11,2773,1739,1937,2605,2520,2143,1350,1375
12,3110,1964,2213,3152,2903,2582,1539,1543
13,4392,2215,2985,3646,3484,3214,1729,1872
14,4866,2486,3308,4183,4067,3803,1921,2161
15,5322,2762,3636,4707,4499,4750,2106,2515
16,5741,3059,4006,5362,5106,5337,2822,2855
17,7576,4534,5115,6027,5631,5919,3076,3139
18,8188,4887,5496,6901,6179,6955,3418,3686
19,8762,5312,5909,7456,6789,7441,3730,4018
20,9333,5596,6362,7988,7326,8332,4096,4345
21,11672,6009,7827,8746,7955,8840,4428,4411
22,12401,6394,8297,9701,8657,9949,4584,4530
23,13026,6817,8765,10204,9403,10560,4684,4610
24,13726,7166,9297,10853,10081,10825,5934,5907
25,16536,9800,11099,11733,10760,11731,6328,6265
26,17393,10300,11651,12464,11530,13054,6816,6901
27,18169,10901,12211,13698,12570,14160,7095,7261
28,18912,11291,12813,14616,13334,15063,7479,7652
29,22218,11855,14961,15573,14409,15650,7715,7553
30,23171,12321,15581,16535,15202,16675,7815,7691
