n,Insert (O2),Insert (O3),Heap (O2),Heap (O3)
3,903,1031,934,928
4,1369,1577,1517,1517
5,1844,2169,2113,2106
6,2332,2809,2922,2917
7,2851,3479,3874,3817
8,3372,4190,4573,4540
9,3925,4939,5419,5319
10,4482,5743,6309,6284
11,5040,6586,7384,7339
12,5654,7480,8338,8213
13,6370,8507,9357,9270
14,7012,9468,10491,10450
15,7707,10509,11772,11668
16,8392,11601,12626,12516
17,9102,12706,13641,13538
18,9840,13875,14795,14681
19,10590,15086,16018,15909
20,11408,16318,17168,17043
21,12230,17638,18262,18161
22,13067,18957,19655,19553
23,13927,20358,21049,20918
24,14827,21788,22177,22039
25,15724,23285,23446,23353
26,16653,24798,24799,24727
27,17580,26356,26086,26053
28,18565,27976,27475,27384
29,19547,29646,28728,28624
30,20602,31394,30310,30212
31,21923,33467,31768,31595
32,23099,35428,32840,32698
33,24551,38671,33880,33739
34,29233,44855,35452,35320
35,34007,47894,36834,36705
36,35583,50104,38905,38816
37,36998,52306,44296,44309
38,38379,54513,46655,46626
39,39837,56803,48300,48281
40,41327,59151,49878,49813
41,42837,61534,51365,51388
42,44376,63967,53201,53276
43,45933,66452,54797,54839
44,47509,68961,56683,56781
45,49114,71531,58259,58333
46,50748,74149,60201,60268
47,52417,76828,61961,62039
48,54090,79527,63495,63483
49,55810,82289,65027,65049
50,57561,85109,67117,67137
51,59335,87970,68949,68990
52,61138,90887,71014,71062
53,62942,93838,72728,72923
54,64805,96851,74623,74840
55,66653,99880,76652,76836
56,68794,103153,78822,79057
57,70739,106306,80544,80799
58,72397,109335,82319,82538
59,74349,112560,84306,84596
60,76350,115860,86113,86405
61,78376,119192,88012,88342
62,80395,122563,90088,90392
63,82460,125954,91903,92251
64,84578,129452,93494,93658
65,86701,132968,95003,95320
66,88858,136546,96908,97163
67,91005,140141,98619,98921
68,93206,143789,100433,100620
69,95393,147480,102052,102394
70,97656,151223,104307,104583
71,99938,155024,105993,106270
72,102522,159021,107996,108125
73,104821,162888,109700,109876
74,106832,166627,111745,111860
75,109285,170676,113407,113537
76,111804,174597,115517,115629
77,114247,178601,117143,117256
78,116674,182668,119551,119652
79,119112,186791,121496,121641
80,121564,190965,123274,123352
81,124024,195171,125197,125272
82,126631,199495,127368,127470
83,129144,203811,129391,129433
84,132479,208478,131540,131560
85,135190,212898,133557,133552
86,136802,216961,135725,135711
87,139418,221455,138060,138043
88,142022,225968,140100,140017
89,144665,230547,142007,142030
90,146761,235186,144323,144344
91,149461,239627,146575,146615
92,152184,244333,148834,148970
93,154937,249109,151026,151178
94,158158,254283,153434,153566
95,161037,259096,155579,155752
96,164423,264244,157609,157723
97,167300,269192,159632,159739
98,169552,273918,161216,161420
99,172417,278934,163245,163439
100,175266,283945,165188,165381
101,178146,289045,167349,167510
102,181065,294188,169540,169788
103,184015,299402,171812,171987
104,187201,304743,173718,173850
105,190202,310037,175759,175956
106,193872,315606,178148,178328
107,196939,320997,180355,180610
108,199172,326109,182070,182380
109,202269,331550,184263,184611
110,205324,337009,186853,187315
111,208461,342551,189306,189791
112,211645,348180,191274,191768
113,214832,353825,193546,194001
114,218493,359902,195881,196355
115,221900,365738,198054,198511
116,224571,371058,199843,200296
117,227862,376874,202091,202527
118,231127,382714,204745,205138
119,234462,388611,207101,207582
120,237810,394579,209057,209569
121,241187,400583,211161,211819
122,244963,406805,213767,214432
123,248401,412899,216077,216761
124,252549,419338,219007,219721
125,256054,425500,221222,222018
126,258399,431240,223201,224003
127,261909,437488,225692,226528
128,265448,443814,227310,228013
129,269015,450167,229235,230062
130,273091,456796,231297,232042
131,276708,463263,233367,234161
132,280344,469756,235304,236089
133,284003,476297,237533,238294
134,287692,482875,239783,240526
135,291400,489494,242067,242970
136,295136,496211,243879,244764
137,298880,502913,245901,246985
138,302645,509644,248081,248970
139,306430,516450,250171,251285
140,310234,523270,252146,253161
141,314096,530177,254155,255413
