n,Find (Cache SIMD),Insert,Insert (Cache),Heap,Tournament Tree 2,State Machine (Compiled)
3,39,16,16,18,23,12
4,55,25,24,27,38,20
5,71,34,32,37,54,30
6,86,46,40,53,67,0
7,101,56,49,71,88,0
8,118,67,59,81,102,0
9,127,79,68,93,127,0
10,139,89,78,109,147,0
11,155,101,88,129,167,0
12,171,112,99,145,177,0
13,187,127,109,215,206,0
14,202,144,122,188,224,0
15,219,159,133,214,241,0
16,236,175,145,226,256,0
17,253,192,156,239,289,0
18,266,209,168,257,318,0
19,283,225,181,277,349,0
20,299,243,195,295,372,0
21,317,260,209,317,400,0
22,332,278,224,340,417,0
23,350,297,240,366,432,0
24,365,316,253,385,447,0
25,387,335,269,454,477,0
26,399,354,285,431,500,0
27,412,374,301,460,521,0
28,428,390,317,483,540,0
29,445,411,334,512,560,0
30,462,434,352,543,581,0
31,481,453,369,574,599,0
32,495,472,388,589,617,0
33,522,488,406,600,676,0
34,535,515,426,622,687,0
35,549,537,444,643,722,0
36,569,559,466,662,804,0
37,582,577,486,684,789,0
38,602,602,507,713,819,0
39,620,625,527,736,851,0
40,635,646,547,758,874,0
41,661,652,568,779,909,0
42,668,693,589,806,938,0
43,683,705,611,836,963,0
44,701,737,634,863,984,0
45,717,749,657,892,1007,0
46,735,789,682,924,1028,0
47,756,800,704,958,1050,0
48,773,831,728,980,1073,0
49,879,855,753,1000,1101,0
50,832,886,777,1028,1128,0
51,848,912,803,1066,1155,0
52,865,939,829,1096,1179,0
53,884,952,856,1127,1206,0
54,902,1041,884,1165,1229,0
55,921,1009,913,1203,1256,0
56,941,1041,940,1234,1277,0
57,984,1063,969,1262,1305,0
58,995,1084,994,1298,1328,0
59,1014,1095,1022,1338,1350,0
60,1088,1131,1056,1378,1375,0
61,1048,1161,1087,1410,1398,0
62,1071,1192,1156,1448,1422,0
63,1091,1213,1147,1485,1446,0
64,1160,1238,1178,1508,1468,0
65,1145,1261,1209,1526,1508,0
66,1164,1280,1240,1546,1546,0
67,1181,1302,1332,1573,1585,0
68,1199,1329,1304,1600,1622,0
69,1218,1354,1338,1619,1659,0
70,1270,1383,1371,1651,1694,0
71,1256,1404,1403,1679,1732,0
72,1281,1441,1438,1705,1767,0
73,1330,1470,1472,1724,1805,0
74,1343,1493,1506,1750,1843,0
75,1361,1522,1542,1784,1878,0
76,1381,1547,1577,1813,1913,0
77,1398,1571,1613,1835,1950,0
78,1419,1598,1651,1870,1981,0
79,1439,1630,1690,1906,2015,0
80,1462,1668,1722,1936,2046,0
81,1479,1749,1761,1951,2085,0
82,1544,1718,1801,1984,2117,0
83,1511,1748,1837,2014,2207,0
84,1531,1777,1905,2054,2185,0
85,1555,1829,1943,2110,2214,0
86,1592,1863,1975,2144,2271,0
87,1611,1889,2023,2188,2300,0
88,1634,1935,2035,2192,2321,0
89,1674,2007,2108,2225,2327,0
90,1747,1965,2117,2313,2349,0
91,1711,1998,2165,2291,2371,0
92,1723,2025,2202,2329,2401,0
93,1802,2060,2249,2370,2425,0
94,1765,2092,2323,2440,2448,0
95,1817,2149,2361,2475,2512,0
96,1833,2185,2396,2497,2530,0
97,1929,2232,2463,2510,2564,0
98,1931,2248,2505,2544,2584,0
99,1959,2275,2563,2607,2622,0
100,2017,2317,2586,2649,2668,0
