COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
TEST_TYPE ordered
SEED 1759363683

Init: 14334

## MERGING 3 LISTS ##
Baseline (copy+sort) 193
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Heap Cache (Oz)                          | true    |      ? |       310,310,310 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |          27,27,27 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       310,310,310 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |          27,27,27 |             0.0000 |
Find (O3)                                | true    |      ? |       605,605,605 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       129,129,129 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |          50,50,50 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          80,80,80 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |          77,77,77 |             0.0000 |
Find (O1)                                | true    |      ? |       383,383,383 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          80,80,80 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |          49,49,49 |             0.0000 |

## MERGING 6 LISTS ##
Baseline (copy+sort) 385
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       452,452,452 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |          83,83,83 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       372,372,372 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |          48,48,48 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |          82,82,82 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       372,372,372 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |          85,85,85 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |          36,36,36 |             0.0000 |
Find (Oz)                                | true    |      ? |       455,455,455 |             0.0000 |
Find (O2)                                | true    |      ? |       451,451,451 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |          46,46,46 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |          68,68,68 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          46,46,46 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       156,156,156 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       118,118,118 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          86,86,86 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          46,46,46 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |          98,98,98 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       375,375,375 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |          33,33,33 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       373,373,373 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |          37,37,37 |             0.0000 |
Find (O3)                                | true    |      ? |       681,681,681 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       155,155,155 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |          83,83,83 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |          98,98,98 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |          92,92,92 |             0.0000 |
Find (O1)                                | true    |      ? |       452,452,452 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |          97,97,97 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |          82,82,82 |             0.0000 |

## MERGING 7 LISTS ##
Baseline (copy+sort) 448
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       530,530,530 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       124,124,124 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       433,433,433 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Find Unrolled (O2)                       | true    |      ? |       124,124,124 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       435,435,435 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |       125,125,125 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (Oz)                                | true    |      ? |       536,536,536 |             0.0000 |
Find (O2)                                | true    |      ? |       527,527,527 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O2)                        | true    |      ? |          79,79,79 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          54,54,54 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       181,181,181 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       138,138,138 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |          99,99,99 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          54,54,54 |             0.0000 |
