n,Insert (O2),Insert (O3)
3,978,966
4,1492,1434
5,2017,1918
6,2558,2444
7,3103,2979
8,3683,3568
9,4279,4183
10,4909,4776
11,5556,5293
12,6227,5889
13,7033,6723
14,7734,7437
15,8496,8330
16,9244,9048
17,9995,9830
18,10769,10644
19,11614,11462
20,12494,12362
21,13365,13376
22,14258,14172
23,15205,15109
24,16120,16047
25,17096,16973
26,18088,18012
27,19096,19115
28,20151,20330
29,21206,21461
30,22306,22655
31,23772,23889
32,25053,25248
33,26684,26769
34,32118,31408
35,36257,35977
36,37850,37786
37,39318,39232
38,40759,40621
39,42312,42288
40,43879,43861
41,45452,45560
42,47053,47037
43,48713,48822
44,50375,50512
45,52065,52320
46,53764,53916
47,55503,55752
48,57283,57672
49,59078,59380
50,60923,61351
51,62740,63371
52,64647,65234
53,66537,67047
54,68483,69198
55,70487,71153
56,72736,73354
57,74761,75721
58,76434,77337
59,78523,79467
60,80627,81481
61,82703,83622
62,84789,85775
63,86933,88030
64,89158,90364
65,91371,92451
66,93570,94772
67,95786,97172
68,98059,99252
69,100318,101790
70,102685,104089
71,105030,106662
72,107695,109269
73,110077,111587
74,112122,113739
75,114660,116482
76,117276,119176
77,119780,121696
78,122256,124024
79,124786,126577
80,127313,129377
81,129866,132026
82,132485,134746
83,135054,137403
84,138473,141098
85,141248,143892
86,142933,145683
87,145625,148409
88,148321,151090
89,151028,153754
90,153077,156749
91,155853,159166
92,158650,162066
93,161488,164985
94,164749,168185
95,167754,171447
96,171220,174978
97,174179,177788
98,176445,180391
99,179369,183504
100,182327,186539
101,185291,189512
102,188266,192659
103,191261,195991
104,194510,198793
105,197519,202706
106,201245,206208
107,204372,209325
108,206637,211991
109,209817,215440
110,212974,218926
111,216186,222000
112,219402,225320
113,222654,228743
114,226285,232459
115,229751,235998
116,232516,239212
117,235856,242672
118,239212,246233
119,242587,249827
120,245993,253371
121,249425,257056
122,253180,260863
123,256664,264442
124,260716,268742
125,264250,272235
126,266874,275423
127,270423,279251
128,274027,283051
129,277644,287021
130,281639,290794
131,285316,294758
132,289008,298638
133,292709,302452
134,296452,306524
135,300207,310531
136,303999,314312
137,307776,318211
138,311598,322453
139,315440,326568
140,319279,330460
141,323171,334578
142,327099,338616
143,330995,342892
144,334958,347021
145,338948,351016
146,342922,355310
147,347002,359718
148,351045,364150
149,355089,368194
150,359162,372521
151,363292,376942
152,367000,381109
153,371311,385769
154,375636,390417
155,380019,395087
156,384355,399124
157,388661,403687
158,392985,408510
159,397342,412918
160,401864,417805
161,406118,421937
162,410559,426775
163,415062,431395
164,419499,436051
165,424053,441329
166,428637,445519
167,433074,450273
168,437597,455221
169,442108,459844
170,446693,465104
171,451363,469681
172,456070,474596
173,460793,479400
174,465538,484394
175,470291,489233
176,474983,494183
177,479684,499451
178,484383,504492
179,489223,509357
180,494070,514605
181,498972,519551
182,503901,524835
183,508814,529633
184,513726,535072
185,518646,540215
186,523555,545300
187,528528,550473
188,533535,555693
189,538589,561386
190,543643,566287
191,548808,571648
192,553971,576889
193,559107,582357
194,564215,587645
195,569319,593400
196,574499,598522
197,579687,603904
198,584994,609490
199,590330,615205
200,595674,620618
