n,Find SIMD (O2),Insert Cache (O3)
3,391,169
4,545,250
5,696,331
6,843,430
7,1009,519
8,1307,646
9,1384,754
10,1519,882
11,1687,969
12,1853,1099
13,2025,1341
14,2203,1523
15,2398,1737
16,2638,1936
17,2617,2143
18,2741,2386
19,2900,2518
20,3058,2647
21,3225,2832
22,3397,3035
23,3577,3212
24,3777,3443
25,3849,3580
26,3972,3776
27,4129,3691
28,4286,3867
29,4457,4066
30,4691,4275
31,4807,4500
32,5014,4613
33,5295,4814
34,5437,4963
35,5653,5406
36,5838,5538
37,6027,5733
38,6219,5919
39,6405,6125
40,6624,6310
41,6773,6510
42,6898,6723
43,7077,6710
44,7262,6982
45,7454,7200
46,7720,7346
47,7879,7580
48,8125,7618
49,8619,7904
50,8836,8086
51,8942,8384
52,9135,8722
53,9333,8865
54,9589,8896
55,9754,9193
56,10037,9320
57,10217,9572
58,10422,9756
59,10607,9888
60,10740,10170
61,10951,10379
62,11200,10542
63,11361,10801
64,11566,10903
65,12055,11164
66,12281,11329
67,12444,11453
68,12667,11632
69,12845,11858
70,13073,12055
71,13289,12292
72,13522,12552
73,14175,12814
74,14330,13020
75,14461,13716
76,14722,13413
77,14961,13698
78,15112,13917
79,15399,14084
80,15639,14201
81,16322,14385
82,16469,14691
83,16678,14803
84,16823,15007
85,17092,15307
86,17340,15370
87,17565,15686
88,17843,15925
89,17659,16156
90,17816,16361
91,17963,17753
92,18242,16945
93,18383,17190
94,18611,17416
95,18923,17657
96,19138,17746
97,19941,18038
98,20158,18326
99,20369,18425
100,20606,18690
