n,Find Branchless Cache (O1),Find Branchless Cache (O2),Find Branchless Cache (O3),Find Branchless Cache (Os),Find Branchless Cache (Oz)
3,158,138,143,139,139
4,219,190,204,196,196
5,298,255,269,258,259
6,387,329,348,349,349
7,512,421,439,423,425
8,610,513,545,526,526
9,721,612,662,620,621
10,837,748,781,738,740
11,959,877,914,857,856
12,1105,1007,1053,998,997
13,1271,1143,1205,1129,1130
14,1439,1290,1376,1276,1275
15,1613,1445,1537,1436,1436
16,1802,1618,1715,1596,1595
17,1994,1798,1908,1772,1769
18,2194,1989,2110,1953,1951
19,2402,2215,2323,2155,2150
20,2627,2387,2545,2358,2354
21,2859,2598,2781,2573,2565
22,3107,2824,3022,2778,2783
23,3362,3054,3276,3023,3019
24,3634,3298,3553,3260,3267
25,3917,3550,3822,3505,3513
26,4206,3804,4102,3775,3770
27,4503,4071,4409,4049,4044
28,4808,4358,4721,4330,4336
29,5147,4657,5044,4610,4610
30,5456,4943,5358,4912,4901
