n,Find SIMD (O2),Insert Cache (O3)
3,391,169
4,545,250
5,696,330
6,844,428
7,1010,522
8,1247,659
9,1384,748
10,1519,874
11,1687,971
12,1852,1110
13,2025,1341
14,2201,1524
15,2450,1736
16,2638,1937
17,2614,2142
18,2743,2335
19,2903,2519
20,3115,2646
21,3226,2831
22,3451,3006
23,3582,3209
24,3776,3389
25,3847,3579
26,3968,3776
27,4183,3670
28,4289,3868
29,4460,4066
30,4624,4269
31,4859,4473
32,5013,4665
33,5298,4815
34,5438,4967
35,5608,5407
36,5779,5536
37,5962,5734
38,6155,5918
39,6356,6123
40,6554,6365
41,6814,6508
42,6950,6722
43,7077,6712
44,7259,6927
45,7449,7200
46,7718,7343
47,7924,7582
48,8143,7613
49,8610,7828
50,8766,8150
51,8986,8383
52,9127,8719
53,9395,8866
54,9540,8928
55,9815,9124
56,9982,9369
57,10217,9531
58,10429,9795
59,10558,9957
60,10801,10114
61,10980,10350
62,11142,10605
63,11350,10821
64,11563,10952
65,12105,11104
66,12265,11329
67,12461,11452
68,12659,11634
69,12868,11852
70,13061,12052
71,13309,12291
72,13507,12572
73,14183,12799
74,14269,13006
75,14493,13673
76,14672,13412
77,14945,13697
78,15116,13865
79,15405,14145
80,15650,14189
81,16255,14433
82,16463,14678
83,16613,14791
84,16854,15063
85,17053,15246
86,17339,15437
87,17569,15696
88,17854,15923
89,17657,16155
90,17828,16368
91,17981,17760
92,18238,16948
93,18461,17188
94,18681,17421
95,18900,17642
96,19142,17736
97,19972,18022
98,20215,18272
99,20370,18419
100,20620,18718
