n,Find (O0),Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Insert Cache (O0),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),Tournament Tree (O0),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
32,14848,6054,5758,5481,5965,6182,11749,5058,5427,5376,4691,4857,13183,4388,4394,4432,4336,4450,13511,7580,6647,6517,6757,7112,16056,6083,6923,7427,6694,6607,0,0,0,0,0,0
33,17431,6137,5908,5721,6238,6367,12443,5295,5670,5602,4936,5107,13852,4612,4592,4594,4597,4656,13965,7736,6840,6701,6894,7300,17038,6480,7301,7769,7105,6997,0,0,0,0,0,0
34,17942,6320,6055,5870,6405,6603,13063,5542,5938,5882,5161,5261,14636,4820,4829,4840,4784,4863,14438,8020,7109,6968,7104,7602,17494,6809,7677,8211,7476,7369,0,0,0,0,0,0
35,18476,6487,6257,6058,6608,6851,13714,5776,6217,6152,5427,5546,15353,5003,5047,5040,4985,5099,14985,8301,7332,7237,7423,7899,18281,7194,8092,8634,7868,7752,0,0,0,0,0,0
36,19005,6665,6453,6250,6837,7036,14358,6008,6552,6439,5641,5782,16102,5219,5276,5305,5259,5418,15533,8540,7573,7452,7645,8173,18942,7537,8412,9056,8258,8118,0,0,0,0,0,0
37,19565,6911,6642,6453,7025,7219,14965,6237,6764,6699,5925,6028,16771,5447,5511,5524,5480,5633,15990,8821,7862,7712,7899,8438,19683,7916,8843,9480,8606,8487,0,0,0,0,0,0
38,20133,7102,6877,6627,7275,7501,15712,6545,7047,7027,6213,6308,17508,5676,5795,5732,5734,5863,16766,9180,8131,8023,8173,8787,20430,8259,9132,9855,8981,8804,0,0,0,0,0,0
39,20759,7385,7110,6853,7549,7714,16465,6785,7393,7298,6464,6562,18274,5954,6014,6000,5951,6133,17336,9615,8473,8361,8529,9173,21172,8640,9485,10238,9320,9188,0,0,0,0,0,0
40,21305,7598,7323,7053,7800,8006,17114,7028,7642,7595,6706,6781,19146,6202,6218,6251,6130,6389,17806,9816,8742,8549,8785,9429,21859,8892,9801,10540,9674,9475,0,0,0,0,0,0
41,24187,8106,7773,7462,8192,8276,17971,7309,7962,7893,6968,7042,20115,6409,6463,6458,6431,6640,18279,10080,8994,8805,8997,9687,22583,9268,10186,10969,10039,9831,0,0,0,0,0,0
42,24647,8226,7890,7610,8372,8474,18710,7589,8280,8187,7244,7254,20974,6637,6721,6693,6685,6883,18928,10441,9333,9198,9315,10058,23326,9561,10527,11346,10378,10182,0,0,0,0,0,0
43,25314,8454,8137,7824,8587,8723,19620,7919,8568,8509,7533,7568,21753,6883,6967,6937,6902,7124,19663,10922,9744,9532,9654,10396,24025,9877,10814,11664,10697,10494,0,0,0,0,0,0
44,25898,8622,8328,8046,8822,8917,20383,8170,8873,8811,7799,7943,22705,7132,7240,7282,7174,7444,20270,11218,10056,9832,10008,10748,24560,10120,11060,12015,10948,10731,0,0,0,0,0,0
45,26543,8905,8579,8264,9024,9143,21345,8496,9206,9138,8079,8343,23738,7374,7496,7508,7426,7686,20857,11653,10381,10195,10304,11125,25170,10415,11405,12300,11230,11006,0,0,0,0,0,0
46,27198,9128,8822,8462,9301,9331,22139,8775,9552,9465,8415,8560,24506,7638,7763,7740,7687,7977,21557,12072,10751,10593,10752,11545,25762,10671,11574,12609,11436,11263,0,0,0,0,0,0
47,27785,9403,9020,8713,9500,9666,23001,9053,9873,9802,8703,8885,25400,7936,8071,8013,7906,8254,22228,12501,11099,10949,11112,11976,27267,10866,11815,12893,11683,11485,0,0,0,0,0,0
