n,Find SIMD (O2)
3,81
4,110
5,140
6,175
7,207
8,253
9,273
10,300
11,333
12,365
13,400
14,433
15,473
16,515
17,524
18,548
19,579
20,610
21,644
22,675
23,709
24,747
25,766
26,795
27,825
28,855
29,887
30,923
31,960
32,995
33,1047
34,1070
35,1106
36,1139
37,1174
38,1205
39,1243
40,1278
41,1331
42,1355
43,1389
44,1424
45,1454
46,1497
47,1526
48,1570
49,1685
50,1709
51,1749
52,1777
53,1814
54,1851
55,1893
56,1961
57,1997
58,2020
59,2048
60,2079
61,2118
62,2159
63,2195
64,2236
65,2358
66,2386
67,2425
68,2454
69,2496
70,2535
71,2573
72,2627
73,2650
74,2681
75,2715
76,2757
77,2794
78,2822
79,2861
80,2890
81,3105
82,3132
83,3169
84,3179
85,3255
86,3289
87,3333
88,3373
89,3354
90,3377
91,3416
92,3461
93,3497
94,3538
95,3580
96,3625
97,3852
98,3887
99,3941
100,3967
