n,State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,1624,1483,1482,1684,1620
4,2540,2503,2504,2531,2549
5,3534,3514,3514,3512,3527
6,5062,5086,5074,5063,5123
