n,Find SIMD (O2),Insert Cache (O3)
3,399,169
4,545,250
5,698,329
6,862,430
7,1030,522
8,1271,660
9,1383,752
10,1519,883
11,1688,975
12,1852,1103
13,2024,1341
14,2203,1524
15,2398,1736
16,2638,1936
17,2616,2144
18,2741,2391
19,2901,2520
20,3068,2648
21,3225,2840
22,3464,3011
23,3585,3219
24,3776,3389
25,3911,3579
26,3978,3774
27,4128,3731
28,4341,3873
29,4457,4067
30,4626,4270
31,4807,4530
32,5067,4622
33,5294,4817
34,5436,4969
35,5605,5404
36,5780,5535
37,5962,5730
38,6162,5915
39,6349,6124
40,6563,6311
41,6758,6508
42,6950,6717
43,7128,6710
44,7262,6928
45,7455,7196
46,7667,7342
47,7889,7546
48,8094,7677
49,8615,7898
50,8815,8089
51,8944,8417
52,9185,8670
53,9330,8919
54,9582,8903
55,9807,9182
56,9975,9311
57,10250,9528
58,10430,9754
59,10556,9940
60,10800,10120
61,10938,10342
62,11145,10602
63,11422,10803
64,11567,10959
65,12048,11167
66,12212,11384
67,12417,11509
68,12658,11635
69,12866,11850
70,13075,12052
71,13302,12290
72,13510,12509
73,14112,12795
74,14272,13022
75,14518,13673
76,14724,13416
77,14902,13669
78,15162,13861
79,15414,14082
80,15585,14220
81,16312,14385
82,16403,14681
83,16657,14745
84,16820,15046
85,17093,15298
86,17335,15443
87,17566,15627
88,17833,15871
89,17658,16100
90,17763,16406
91,17967,17702
92,18231,16889
93,18455,17190
94,18666,17417
95,18895,17658
96,19146,17740
97,19969,18030
98,20163,18328
99,20315,18368
100,20576,18718
