n,Baseline (copy+sort),Find Branchless Cache (Oz),Find SIMD (O2),Insert Cache (O3),Insert Cache Pair (O1),Bubble Branchless Pair (O3),Heap Cache (O2),Tournament External Cache Branchless (O3)
3,749,138,351,210,209,174,243,206
4,1162,194,486,310,308,274,336,244
5,1238,257,583,430,411,385,447,401
6,1653,348,699,561,519,517,610,449
7,1761,420,843,695,630,661,809,502
8,2171,520,980,832,743,809,933,556
9,2287,615,1127,986,863,970,1065,716
10,2706,735,1251,1145,967,1125,1247,864
11,2796,853,1403,1309,1089,1310,1467,938
12,3236,990,1555,1484,1213,1509,1645,984
13,3319,1121,1666,1661,1345,1705,1862,1055
14,3761,1268,1796,1842,1546,1922,2111,1129
15,3841,1428,1950,2035,1696,2147,2372,1204
16,4319,1583,2101,2230,1840,2379,2522,1294
17,4357,1762,2284,2758,1988,2657,2673,1410
18,4877,1939,2416,2999,2134,3064,2885,1567
19,4875,2133,2567,3247,2280,3491,3105,1722
20,5421,2335,2728,3416,2431,3980,3301,1862
21,5441,2542,2858,3513,2594,4364,3541,1977
22,5939,2756,2994,3768,2747,4816,3793,2049
23,5955,2990,3146,4026,2917,5226,4068,2118
24,6471,3224,3315,4226,3100,5677,4277,2186
25,6476,3475,3551,4517,3283,6084,4501,2264
26,7021,3730,3689,5067,3464,6522,4782,2343
27,7018,4006,3856,5329,3654,6972,5078,2426
28,7535,4281,4028,5423,3851,7382,5354,2517
29,7532,4565,4158,5724,4043,7730,5645,2604
30,8106,4857,4304,6001,4257,8173,5949,2697
