n,Find SIMD (O2),Insert Cache (O3)
3,40,17
4,55,25
5,70,33
6,87,43
7,104,52
8,126,66
9,137,75
10,150,87
11,166,97
12,182,110
13,242,135
14,215,154
15,233,175
16,257,195
17,255,215
18,269,235
19,284,254
20,299,268
21,314,284
22,331,301
23,348,323
24,372,341
25,374,361
26,386,380
27,402,370
28,416,390
29,433,410
30,450,434
31,464,454
32,481,466
33,512,485
34,525,499
35,542,543
36,559,557
37,573,576
38,590,595
39,609,617
40,626,635
41,645,655
42,659,676
43,673,675
44,690,698
45,706,718
46,727,746
47,745,765
48,763,768
49,819,789
50,829,875
51,845,838
52,863,871
53,881,893
54,899,892
55,920,917
56,940,936
57,964,962
58,977,979
59,996,997
60,1013,1019
61,1029,1040
62,1046,1062
63,1064,1135
64,1082,1098
65,1132,1129
66,1151,1157
67,1185,1168
68,1189,1180
69,1196,1199
70,1209,1207
71,1231,1232
72,1253,1254
73,1284,1336
74,1302,1301
75,1320,1383
76,1335,1349
77,1420,1369
78,1377,1397
79,1391,1428
80,1415,1425
81,1521,1450
82,1524,1477
83,1534,1478
84,1560,1508
85,1581,1532
86,1600,1547
87,1629,1570
88,1645,1622
89,1630,1643
90,1642,1642
91,1660,1782
92,1682,1700
93,1696,1783
94,1719,1745
95,1738,1774
96,1757,1778
97,1844,1810
98,1857,1836
99,1876,1841
100,1948,1871
