n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
485,15810,20904,20944,49833,22748,16663,16603,15319,15340
486,16047,22076,22138,50009,22649,16722,16671,15355,15353
487,15937,22087,22160,50268,22757,16778,16695,15369,15314
488,16217,21085,21088,50406,22981,16804,16779,15382,15335
489,16087,21259,21271,50635,23009,16859,16778,15479,15429
490,16269,22450,22484,50785,23014,16879,16869,15490,15414
491,16078,22473,22525,50986,23079,16923,16882,15537,15493
492,16420,21414,21429,51136,23313,16955,16959,15564,15545
493,16210,21434,21427,51376,23406,17008,16950,15600,15595
494,16412,22562,22594,51588,23406,17057,17022,15643,15608
495,16182,22611,22578,51770,23435,17125,17028,15604,15684
496,16500,21596,21598,51936,23662,17125,17078,15713,15632
497,16303,21764,21841,52215,23745,17222,17157,15743,15710
498,16674,23002,23029,52360,23697,17278,17181,15758,15727
499,16393,23071,23058,52571,23828,17275,17239,15784,15785
500,16550,21899,21917,52785,24038,17326,17269,15830,15813
