n,Heap Branchless Parallel,Heap 4ary Branchless Parallel,Heap 8ary Parallel SIMD
3,1,1,2
4,2,1,3
5,3,2,4
6,3,4,5
7,4,5,6
8,6,6,7
9,7,6,8
10,8,7,11
11,9,7,13
12,9,8,15
13,9,9,17
14,9,9,18
15,10,10,20
16,13,11,22
17,14,11,24
18,17,12,27
19,18,13,29
20,18,14,31
21,19,15,32
22,19,17,34
23,19,19,35
24,19,20,37
25,19,22,39
26,19,24,41
27,19,26,44
28,19,27,45
29,19,28,46
30,19,30,49
31,20,31,50
32,24,32,52
33,26,33,54
34,29,33,55
35,30,34,57
36,34,34,58
37,36,35,60
38,39,35,62
39,41,36,63
40,45,37,65
41,46,37,66
42,47,38,69
43,48,38,69
44,48,39,71
45,49,40,74
46,48,41,75
47,49,41,77
48,48,42,78
49,49,43,80
50,49,44,79
51,50,45,81
52,50,46,82
53,51,46,84
54,50,47,86
55,51,48,88
56,51,48,89
57,51,49,91
58,51,50,89
59,52,51,91
60,51,52,93
61,53,53,95
62,52,53,97
63,53,55,98
64,60,55,100
65,63,57,102
66,67,57,99
67,69,58,101
68,73,59,102
69,74,60,104
70,77,60,106
71,79,61,107
72,83,62,109
73,84,63,110
74,88,63,119
75,90,64,125
76,94,65,131
77,96,66,135
78,100,67,139
79,101,68,144
80,106,69,148
81,109,70,151
82,111,70,155
83,113,71,159
84,116,72,162
85,117,74,166
86,118,76,169
87,120,78,172
88,119,80,175
89,121,83,179
90,121,85,182
91,122,88,185
92,122,89,189
93,123,91,192
94,123,94,195
95,124,96,198
96,124,98,201
97,125,100,205
98,128,102,208
99,126,105,211
100,126,106,213
101,127,108,216
102,128,110,219
103,129,112,222
104,128,114,224
105,130,117,227
106,130,119,231
107,131,121,234
108,131,123,236
109,132,125,239
110,132,128,241
111,133,129,244
112,133,131,247
113,134,133,250
114,134,136,252
115,135,138,255
116,134,140,258
117,135,142,260
118,136,145,263
119,137,147,266
120,137,149,268
121,138,151,271
122,138,155,274
123,138,156,277
124,140,158,279
125,140,160,282
126,141,162,284
127,141,165,287
128,146,167,289
129,147,168,292
130,151,172,295
131,153,173,298
132,156,175,300
133,159,177,302
134,162,179,305
135,164,181,308
136,168,183,310
137,171,184,313
138,175,186,316
139,176,188,318
140,181,190,322
141,183,191,323
142,186,192,325
143,190,193,328
144,192,195,331
145,196,196,333
146,198,198,335
147,200,199,338
148,205,200,340
149,207,201,342
150,211,203,345
151,213,204,347
152,217,205,349
153,219,206,352
154,224,207,354
155,225,208,357
156,231,210,359
157,233,211,362
158,238,212,364
159,239,214,367
160,243,214,369
161,245,215,371
162,250,216,374
163,252,217,376
164,258,218,378
165,258,219,381
166,261,221,383
167,264,221,385
168,265,223,388
169,269,224,390
170,270,224,393
171,288,226,395
172,274,226,397
173,276,228,400
174,276,228,402
175,279,230,405
176,282,231,407
177,280,232,410
178,281,233,412
179,282,234,413
180,282,236,416
181,287,236,418
182,284,237,421
183,285,238,423
184,286,240,425
185,286,243,428
186,287,242,430
187,289,242,432
188,288,244,434
189,289,247,437
190,289,246,439
191,291,246,441
192,290,248,444
193,292,249,447
194,292,249,448
195,292,251,450
196,292,253,453
197,296,253,455
198,297,254,457
199,296,255,460
200,294,256,462
201,297,258,465
202,298,258,466
203,298,260,468
204,298,260,472
205,300,262,474
206,299,262,476
207,301,263,479
208,300,264,481
209,301,266,484
210,301,266,486
211,303,268,488
212,303,271,490
213,304,269,492
214,307,271,495
215,305,272,497
216,306,273,499
217,311,274,502
218,307,275,503
219,307,276,505
220,308,277,508
221,311,278,510
222,311,279,513
223,312,280,515
224,310,281,518
225,312,282,521
226,312,283,521
227,313,284,524
228,314,285,528
229,315,287,528
230,316,287,530
231,317,288,533
232,317,290,535
233,319,290,538
234,319,292,539
235,321,293,542
236,320,294,544
237,322,315,547
238,323,296,548
239,323,317,551
240,323,298,554
241,325,299,556
242,325,320,557
243,327,301,560
244,361,303,562
245,328,303,564
246,329,324,566
247,330,305,569
248,365,306,571
249,331,308,574
250,331,329,575
251,369,309,577
