n,Find,Insertion Sort Fast,Heap,Tournament Tree 2
3,440,405,453,572
4,695,645,685,956
5,1007,890,960,1349
6,1337,1177,1355,1680
7,1676,1450,1827,2221
8,2113,1742,2105,2591
9,2707,2019,2411,3228
10,3445,2299,2834,3734
11,4210,2609,3361,4283
12,4903,2918,3800,4559
13,5728,3256,4326,5337
14,6466,3595,4944,5765
15,7342,3914,5621,6238
16,8239,4237,5956,6634
17,9585,4671,6296,7436
18,10762,5174,6745,8153
19,11722,5674,7313,8884
20,12955,6203,7778,9451
21,14016,6706,8313,10099
22,14977,7225,8940,10499
23,15927,7749,9646,10895
24,17016,8293,10146,11242
25,17966,8872,10707,12038
26,18993,9418,11395,12625
27,20084,9976,12192,13142
28,21167,10542,12820,13576
29,22310,11119,13513,14095
30,23346,11601,14275,14554
31,24618,12204,15082,15043
32,25745,12809,15488,15476
