COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
SEED 1759287768

Init: 12341

## MERGING 3 LISTS ##
Baseline (copy+sort) 482
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Insert Cache (O3)                        | true    |      ? |       336,336,336 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       281,281,281 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       324,324,324 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       317,317,317 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       513,513,513 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |       266,266,266 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       396,396,396 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       268,268,268 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |       304,304,304 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       325,325,325 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |       302,302,302 |             0.0000 |

## MERGING 6 LISTS ##
Baseline (copy+sort) 1373
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |       375,375,375 |             0.0000 |
Find (O1)                                | true    |      ? |       865,865,865 |             0.0000 |
Find (O3)                                | true    |      ? |       999,999,999 |             0.0000 |
Find (Oz)                                | true    |      ? |       909,909,909 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       549,549,549 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       528,528,528 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       414,414,414 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       572,572,572 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       533,533,533 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |       366,366,366 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       634,634,634 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       541,541,541 |             0.0000 |
Find (O2)                                | true    |      ? |       852,852,852 |             0.0000 |
State Machine Cache (O2)                 | true    |      ? |       487,487,487 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       516,516,516 |             0.0000 |
Find (Os)                                | true    |      ? |       902,902,902 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       362,362,362 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       517,517,517 |             0.0000 |
State Machine Cache (O1)                 | true    |      ? |       536,536,536 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       435,435,435 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       364,364,364 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       399,399,399 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       401,401,401 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       624,624,624 |             0.0000 |
State Machine Cache (O3)                 | true    |      ? |       476,476,476 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       529,529,529 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       358,358,358 |             0.0000 |
State Machine Cache (Oz)                 | true    |      ? |       521,521,521 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |       400,400,400 |             0.0000 |
State Machine Cache (Os)                 | true    |      ? |       510,510,510 |             0.0000 |

## MERGING 7 LISTS ##
Baseline (copy+sort) 1317
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |       477,477,477 |             0.0000 |
Find (O1)                                | true    |      ? |    1104,1104,1104 |             0.0000 |
Find (O3)                                | true    |      ? |    1140,1140,1140 |             0.0000 |
Find (Oz)                                | true    |      ? |    1065,1065,1065 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       710,710,710 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       687,687,687 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       490,490,490 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       738,738,738 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       686,686,686 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |       475,475,475 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       847,847,847 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       731,731,731 |             0.0000 |
Find (O2)                                | true    |      ? |    1006,1006,1006 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |       705,705,705 |             0.0000 |
Find (Os)                                | true    |      ? |    1079,1079,1079 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       490,490,490 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       710,710,710 |             0.0000 |
