n,Bubble Sort Fast,Insertion Sort Fast,Insertion Sort Fast Discrete N,Insertion Sort Indexes,AVX Sort,AVX Sort Discrete N,Heap,State Machine (Compiled)
3,2.003231,1.847974,1.821810,2.330070,2.378052,2.351613,2.020852,1.614806
4,3.087090,2.801897,2.799579,3.564580,3.602686,3.638637,3.235884,2.720863
5,4.397226,3.785808,3.651839,4.926296,4.854942,4.739977,4.325801,3.884064
6,5.727364,4.758860,4.581014,6.422558,6.240370,6.112385,6.067105,5.991787
7,7.222114,5.801941,5.960849,7.978530,7.542707,7.290400,7.769311,0.000004
8,8.754709,6.904179,7.806350,9.567320,8.834634,8.694333,9.239027,0.000003
9,10.524339,8.039876,7.781533,11.244552,10.229284,10.074561,10.469509,0.000004
10,12.315554,9.141741,10.249402,13.013248,11.612285,11.353199,12.457651,0.000005
11,14.223325,10.364713,10.119496,14.834805,13.040588,12.763994,14.285352,0.000004
12,16.134296,11.614921,12.962500,16.753963,14.556479,14.238269,16.375274,0.000004
13,18.232075,12.997133,13.187532,19.062221,16.170664,15.934792,18.202941,0.000004
14,20.241039,14.279283,16.370201,21.264497,17.900275,17.457196,20.690221,0.000004
15,22.533741,15.557844,15.152965,23.444609,19.485130,18.993794,23.223255,0.000004
16,24.896578,16.833845,16.710735,25.679902,21.335825,20.607096,24.952862,0.000009
