n,Find SIMD (O2)
3,201
4,274
5,348
6,431
7,511
8,627
9,681
10,748
11,826
12,908
13,993
14,1077
15,1170
16,1285
17,1306
18,1364
19,1495
20,1521
21,1603
22,1693
23,1778
24,1875
25,1920
26,1983
27,2058
28,2201
29,2220
30,2308
31,2397
32,2490
33,2611
34,2680
35,2769
36,2843
37,2927
38,3026
39,3113
40,3209
41,3317
42,3384
43,3475
44,3549
45,3644
46,3742
47,3842
48,3947
49,4224
50,4344
51,4371
52,4465
53,4558
54,4660
55,4755
56,4863
57,5072
58,5088
59,5178
60,5268
61,5363
62,5503
63,5560
64,5665
65,6008
66,6022
67,6115
68,6208
69,6371
70,6413
71,6501
72,6678
73,6721
74,6777
75,6859
76,6966
77,7112
78,7160
79,7260
80,7356
81,7884
82,7961
83,8061
84,8177
85,8311
86,8411
87,8526
88,8660
89,8504
90,8562
91,8720
92,8808
93,8849
94,9005
95,9128
96,9219
97,9783
98,9871
99,9919
100,9998
