n,Insert (O2),Insert (O3),Heap (O2),Heap (O3)
3,904,1029,927,928
4,1357,1577,1518,1517
5,1816,2173,2111,2096
6,2297,2810,2935,2931
7,2828,3481,3853,3830
8,3337,4193,4574,4535
9,3891,4940,5349,5341
10,4451,5745,6284,6283
11,5024,6587,7360,7343
12,5643,7481,8284,8285
13,6379,8509,9307,9299
14,7019,9467,10424,10420
15,7702,10512,11697,11672
16,8389,11615,12549,12545
17,9095,12694,13544,13498
18,9854,13885,14697,14671
19,10624,15067,15954,15866
20,11408,16345,17058,16965
21,12215,17598,18173,18058
22,13090,18956,19585,19532
23,13948,20354,20986,20888
24,14837,21775,22081,22022
25,15702,23253,23333,23206
26,16648,24776,24703,24655
27,17585,26344,26031,25920
28,18564,27956,27326,27316
29,19544,29613,28565,28467
30,20592,31360,30119,30052
31,21906,33455,31580,31486
32,23110,35413,32658,32643
33,24565,38678,33734,33648
34,29362,44837,35274,35217
35,34017,47894,36633,36554
36,35605,50102,39048,38921
37,37015,52303,44437,44095
38,38401,54535,46646,46553
39,39855,56806,48276,48130
40,41338,59150,49834,49780
41,42846,61536,51396,51211
42,44388,63970,53202,53060
43,45944,66450,54818,54643
44,47525,68974,56626,56515
45,49145,71548,58253,58092
46,50785,74177,60153,59977
47,52459,76850,61965,61844
48,54151,79616,63458,63387
49,55870,82329,65055,64875
50,57645,85175,67119,66951
51,59411,88027,68948,68748
52,61225,90957,71006,70826
53,63052,93930,72744,72542
54,64896,96931,74633,74482
55,66757,99985,76661,76460
56,68908,103238,78833,78659
57,70828,106385,80593,80314
58,72490,109402,82338,82057
59,74459,112645,84333,84096
60,76447,115934,86116,85916
61,78476,119285,88081,87859
62,80525,122659,90074,89909
63,82576,126052,91936,91828
64,84705,129565,93486,93430
65,86807,133044,95028,94841
66,88932,136600,96852,96741
67,91085,140209,98597,98434
68,93292,143879,100412,100286
69,95490,147566,102012,101857
70,97761,151295,104300,104100
71,100028,155094,105975,105724
72,102591,159180,107928,107754
73,104912,162973,109638,109349
74,106942,166729,111773,111474
75,109395,170766,113401,113101
76,111934,174703,115394,115268
77,114365,178707,117050,116887
78,116806,182785,119472,119305
79,119255,186918,121385,121280
80,121701,191079,123177,123110
81,124150,195286,125063,124817
82,126741,199614,127257,127009
83,129272,203887,129268,128866
84,132587,208567,131406,131096
85,135303,212999,133417,132957
86,136884,217019,135601,135133
87,139479,221487,137913,137474
88,142109,226031,139901,139492
89,144173,230645,141868,141290
90,146849,235276,144172,143638
91,149574,239697,146369,145928
92,152276,244414,148614,148221
93,155009,249220,150826,150349
94,158231,254339,153196,152833
95,161102,259157,155361,155011
96,164530,264317,157361,157082
97,167360,269250,159442,158890
98,169594,273964,161009,160619
99,172493,278995,163051,162549
100,175296,283963,165004,164714
101,178205,289123,167247,166794
